county,date,confirmed_patients,suspected_patients,total_covid_patients
Placer,4/10/2020,16,11,27
San Francisco,4/10/2020,85,46,131
Mariposa,4/10/2020,0,0,0
Sacramento,4/10/2020,70,45,115
Santa Barbara,4/10/2020,42,13,55
San Diego,4/10/2020,230,124,354
Merced,4/11/2020,0,2,2
Mono,4/11/2020,0,3,3
Modoc,4/11/2020,0,0,0
Placer,4/11/2020,20,19,39
Tehama,4/11/2020,0,0,0
Mariposa,4/11/2020,0,0,0
Sonoma,4/11/2020,3,19,22
Siskiyou,4/11/2020,0,0,0
Amador,4/11/2020,0,0,0
Shasta,4/11/2020,5,3,8
Alameda,4/11/2020,87,91,178
San Bernardino,4/11/2020,153,213,366
Calaveras,4/11/2020,0,1,1
Plumas,4/11/2020,0,0,0
Sacramento,4/11/2020,67,46,113
Glenn,4/11/2020,0,0,0
Nevada,4/11/2020,3,3,6
Colusa,4/11/2020,0,0,0
Stanislaus,4/11/2020,23,19,42
Kings,4/11/2020,10,0,10
Tulare,4/11/2020,12,3,15
Santa Clara,4/11/2020,146,61,207
San Mateo,4/11/2020,54,15,69
Imperial,4/11/2020,14,11,25
Del Norte,4/11/2020,0,2,2
Yolo,4/11/2020,3,4,7
Trinity,4/11/2020,0,0,0
Butte,4/11/2020,2,4,6
Marin,4/11/2020,2,27,29
Napa,4/11/2020,0,0,0
Yuba,4/11/2020,2,2,4
Fresno,4/11/2020,28,63,91
San Benito,4/11/2020,2,2,4
Humboldt,4/11/2020,2,5,7
Solano,4/11/2020,13,16,29
Los Angeles,4/11/2020,1362,905,2267
Inyo,4/11/2020,10,140,150
San Luis Obispo,4/11/2020,2,10,12
Riverside,4/11/2020,232,127,359
Sutter,4/11/2020,0,0,0
Kern,4/11/2020,32,52,84
Madera,4/11/2020,0,5,5
Monterey,4/11/2020,18,17,35
Lassen,4/11/2020,0,4,4
Tuolumne,4/11/2020,0,2,2
Santa Barbara,4/11/2020,40,16,56
San Francisco,4/11/2020,82,51,133
San Diego,4/11/2020,239,118,357
Lake,4/11/2020,0,0,0
Mendocino,4/11/2020,0,1,1
San Joaquin,4/11/2020,23,14,37
El Dorado,4/11/2020,17,2,19
Orange,4/11/2020,144,109,253
Contra Costa,4/11/2020,39,38,77
Ventura,4/11/2020,22,58,80
Santa Cruz,4/11/2020,4,14,18
Orange,4/12/2020,138,108,246
Marin,4/12/2020,2,24,26
Riverside,4/12/2020,245,142,387
Sutter,4/12/2020,0,0,0
Tehama,4/12/2020,0,3,3
Butte,4/12/2020,2,0,2
Santa Cruz,4/12/2020,4,15,19
Sonoma,4/12/2020,3,11,14
Placer,4/12/2020,19,15,34
Yuba,4/12/2020,1,0,1
Del Norte,4/12/2020,0,2,2
Yolo,4/12/2020,4,4,8
Glenn,4/12/2020,0,0,0
Mariposa,4/12/2020,0,0,0
Napa,4/12/2020,0,0,0
Kings,4/12/2020,8,0,8
Lassen,4/12/2020,0,4,4
Siskiyou,4/12/2020,0,0,0
San Benito,4/12/2020,0,0,0
Inyo,4/12/2020,10,140,150
Colusa,4/12/2020,0,0,0
El Dorado,4/12/2020,19,1,20
Plumas,4/12/2020,0,0,0
Alameda,4/12/2020,91,101,192
Kern,4/12/2020,31,28,59
Madera,4/12/2020,0,5,5
San Diego,4/12/2020,244,108,352
Sacramento,4/12/2020,69,46,115
Fresno,4/12/2020,23,46,69
Mendocino,4/12/2020,0,0,0
San Joaquin,4/12/2020,25,21,46
Lake,4/12/2020,0,0,0
Nevada,4/12/2020,3,1,4
Tulare,4/12/2020,15,4,19
Merced,4/12/2020,0,3,3
Los Angeles,4/12/2020,1433,715,2148
Ventura,4/12/2020,21,65,86
Stanislaus,4/12/2020,19,19,38
San Bernardino,4/12/2020,157,172,329
Santa Clara,4/12/2020,145,51,196
San Francisco,4/12/2020,92,44,136
San Luis Obispo,4/12/2020,2,8,10
Shasta,4/12/2020,4,3,7
Santa Barbara,4/12/2020,42,7,49
Contra Costa,4/12/2020,46,32,78
Monterey,4/12/2020,19,13,32
San Mateo,4/12/2020,46,31,77
Tuolumne,4/12/2020,0,0,0
Amador,4/12/2020,0,0,0
Calaveras,4/12/2020,0,2,2
Humboldt,4/12/2020,2,4,6
Imperial,4/12/2020,18,13,31
Solano,4/12/2020,13,19,32
Trinity,4/12/2020,0,0,0
Modoc,4/12/2020,0,0,0
Mono,4/12/2020,0,3,3
Riverside,4/13/2020,247,122,369
San Diego,4/13/2020,243,107,350
Santa Clara,4/13/2020,151,66,217
Fresno,4/13/2020,22,57,79
Tehama,4/13/2020,0,0,0
El Dorado,4/13/2020,19,1,20
Sonoma,4/13/2020,3,14,17
Tulare,4/13/2020,14,3,17
Inyo,4/13/2020,10,150,160
Santa Barbara,4/13/2020,42,7,49
Calaveras,4/13/2020,0,1,1
Contra Costa,4/13/2020,44,44,88
Kings,4/13/2020,0,1,1
Monterey,4/13/2020,22,19,41
Kern,4/13/2020,39,32,71
Amador,4/13/2020,0,0,0
Alameda,4/13/2020,85,81,166
Placer,4/13/2020,18,9,27
Sacramento,4/13/2020,73,36,109
Lake,4/13/2020,0,2,2
Solano,4/13/2020,13,13,26
Orange,4/13/2020,149,81,230
San Luis Obispo,4/13/2020,2,5,7
Madera,4/13/2020,0,4,4
San Benito,4/13/2020,1,1,2
Tuolumne,4/13/2020,0,0,0
Los Angeles,4/13/2020,1501,793,2294
Modoc,4/13/2020,0,0,0
Ventura,4/13/2020,21,56,77
Lassen,4/13/2020,0,4,4
Siskiyou,4/13/2020,0,2,2
Humboldt,4/13/2020,2,8,10
San Francisco,4/13/2020,89,48,137
Mariposa,4/13/2020,0,3,3
Imperial,4/13/2020,19,8,27
San Mateo,4/13/2020,57,19,76
Butte,4/13/2020,1,8,9
Nevada,4/13/2020,2,2,4
Marin,4/13/2020,2,20,22
San Bernardino,4/13/2020,167,155,322
Yuba,4/13/2020,1,2,3
Glenn,4/13/2020,0,0,0
Mendocino,4/13/2020,7,1,8
Del Norte,4/13/2020,0,1,1
San Joaquin,4/13/2020,26,16,42
Sutter,4/13/2020,0,0,0
Colusa,4/13/2020,0,0,0
Yolo,4/13/2020,4,0,4
Shasta,4/13/2020,3,0,3
Napa,4/13/2020,0,1,1
Santa Cruz,4/13/2020,4,8,12
Merced,4/13/2020,0,4,4
Stanislaus,4/13/2020,21,22,43
Plumas,4/13/2020,0,1,1
Mono,4/13/2020,0,1,1
Trinity,4/13/2020,0,0,0
Sacramento,4/14/2020,70,46,116
Fresno,4/14/2020,24,45,69
Shasta,4/14/2020,1,4,5
Inyo,4/14/2020,10,156,166
Imperial,4/14/2020,19,14,33
Yuba,4/14/2020,1,1,2
Plumas,4/14/2020,0,1,1
Contra Costa,4/14/2020,37,51,88
Tuolumne,4/14/2020,0,0,0
Madera,4/14/2020,0,4,4
Lassen,4/14/2020,0,6,6
Yolo,4/14/2020,3,0,3
Santa Cruz,4/14/2020,4,4,8
Mariposa,4/14/2020,0,3,3
San Joaquin,4/14/2020,22,10,32
Siskiyou,4/14/2020,0,0,0
Marin,4/14/2020,2,23,25
Kern,4/14/2020,35,23,58
Glenn,4/14/2020,0,0,0
Nevada,4/14/2020,3,4,7
Santa Clara,4/14/2020,144,47,191
Amador,4/14/2020,0,0,0
Del Norte,4/14/2020,0,5,5
Calaveras,4/14/2020,0,1,1
San Luis Obispo,4/14/2020,3,15,18
Kings,4/14/2020,8,0,8
Sonoma,4/14/2020,3,9,12
Placer,4/14/2020,17,15,32
Sutter,4/14/2020,0,0,0
Ventura,4/14/2020,24,35,59
San Benito,4/14/2020,1,1,2
Mendocino,4/14/2020,0,0,0
San Bernardino,4/14/2020,166,149,315
Humboldt,4/14/2020,2,7,9
Merced,4/14/2020,0,4,4
Stanislaus,4/14/2020,18,25,43
Colusa,4/14/2020,0,0,0
Tulare,4/14/2020,15,5,20
Butte,4/14/2020,1,6,7
Mono,4/14/2020,0,1,1
San Mateo,4/14/2020,55,12,67
Lake,4/14/2020,0,3,3
Monterey,4/14/2020,18,13,31
Trinity,4/14/2020,0,0,0
Riverside,4/14/2020,235,117,352
Orange,4/14/2020,147,111,258
Los Angeles,4/14/2020,1587,613,2200
Santa Barbara,4/14/2020,42,8,50
Solano,4/14/2020,12,25,37
San Diego,4/14/2020,243,109,352
Alameda,4/14/2020,92,106,198
Napa,4/14/2020,0,0,0
El Dorado,4/14/2020,20,3,23
Modoc,4/14/2020,0,1,1
San Francisco,4/14/2020,87,53,140
Tehama,4/14/2020,0,0,0
Mendocino,4/15/2020,0,0,0
Los Angeles,4/15/2020,1624,632,2256
Kings,4/15/2020,8,0,8
San Diego,4/15/2020,236,112,348
San Mateo,4/15/2020,53,18,71
Tehama,4/15/2020,0,0,0
Contra Costa,4/15/2020,38,41,79
Mariposa,4/15/2020,0,4,4
Sutter,4/15/2020,0,0,0
San Joaquin,4/15/2020,21,21,42
Modoc,4/15/2020,0,0,0
San Bernardino,4/15/2020,149,109,258
Fresno,4/15/2020,25,33,58
Napa,4/15/2020,0,0,0
Riverside,4/15/2020,207,155,362
Marin,4/15/2020,4,10,14
Siskiyou,4/15/2020,2,0,2
Placer,4/15/2020,13,11,24
Solano,4/15/2020,9,14,23
Stanislaus,4/15/2020,19,17,36
El Dorado,4/15/2020,0,5,5
Shasta,4/15/2020,1,1,2
Calaveras,4/15/2020,0,0,0
Lake,4/15/2020,3,3,6
Humboldt,4/15/2020,2,5,7
Plumas,4/15/2020,0,0,0
Del Norte,4/15/2020,0,0,0
Glenn,4/15/2020,0,0,0
Sacramento,4/15/2020,66,60,126
Kern,4/15/2020,40,12,52
Santa Cruz,4/15/2020,4,2,6
Inyo,4/15/2020,15,163,178
San Francisco,4/15/2020,87,84,171
Monterey,4/15/2020,20,11,31
Alameda,4/15/2020,81,99,180
Sonoma,4/15/2020,3,13,16
Butte,4/15/2020,1,5,6
Mono,4/15/2020,0,0,0
San Luis Obispo,4/15/2020,2,6,8
Yuba,4/15/2020,0,2,2
San Benito,4/15/2020,1,0,1
Madera,4/15/2020,1,6,7
Lassen,4/15/2020,0,6,6
Imperial,4/15/2020,21,13,34
Colusa,4/15/2020,0,0,0
Ventura,4/15/2020,25,57,82
Tulare,4/15/2020,18,3,21
Santa Clara,4/15/2020,144,42,186
Trinity,4/15/2020,0,0,0
Nevada,4/15/2020,3,4,7
Merced,4/15/2020,0,0,0
Amador,4/15/2020,0,0,0
Yolo,4/15/2020,2,1,3
Tuolumne,4/15/2020,0,0,0
Orange,4/15/2020,156,103,259
Santa Barbara,4/15/2020,37,7,44
Sacramento,4/16/2020,64,54,118
Siskiyou,4/16/2020,0,2,2
Tehama,4/16/2020,0,1,1
San Mateo,4/16/2020,54,18,72
Monterey,4/16/2020,20,22,42
Santa Cruz,4/16/2020,4,3,7
Sonoma,4/16/2020,3,10,13
Del Norte,4/16/2020,0,3,3
Napa,4/16/2020,0,0,0
Tuolumne,4/16/2020,0,0,0
Humboldt,4/16/2020,1,5,6
Nevada,4/16/2020,3,3,6
Imperial,4/16/2020,21,7,28
Lake,4/16/2020,1,0,1
Colusa,4/16/2020,0,1,1
Mariposa,4/16/2020,0,1,1
Solano,4/16/2020,9,15,24
Ventura,4/16/2020,24,52,76
Butte,4/16/2020,1,10,11
Glenn,4/16/2020,0,0,0
Santa Clara,4/16/2020,134,48,182
Marin,4/16/2020,5,7,12
Amador,4/16/2020,0,0,0
Mono,4/16/2020,0,0,0
Sutter,4/16/2020,0,0,0
Merced,4/16/2020,1,1,2
Mendocino,4/16/2020,0,0,0
Orange,4/16/2020,152,117,269
Shasta,4/16/2020,1,0,1
Riverside,4/16/2020,216,150,366
Inyo,4/16/2020,0,3,3
Tulare,4/16/2020,22,5,27
San Benito,4/16/2020,1,0,1
San Francisco,4/16/2020,84,35,119
Stanislaus,4/16/2020,18,19,37
Yuba,4/16/2020,0,2,2
Fresno,4/16/2020,33,33,66
Madera,4/16/2020,0,7,7
Placer,4/16/2020,12,18,30
Los Angeles,4/16/2020,1679,620,2299
Contra Costa,4/16/2020,37,59,96
Trinity,4/16/2020,0,0,0
Calaveras,4/16/2020,0,1,1
San Bernardino,4/16/2020,164,124,288
Lassen,4/16/2020,0,5,5
Plumas,4/16/2020,0,0,0
Kings,4/16/2020,8,0,8
San Luis Obispo,4/16/2020,3,11,14
Yolo,4/16/2020,2,1,3
Santa Barbara,4/16/2020,37,4,41
Kern,4/16/2020,41,19,60
Modoc,4/16/2020,0,2,2
Alameda,4/16/2020,73,82,155
El Dorado,4/16/2020,0,5,5
San Diego,4/16/2020,231,111,342
San Joaquin,4/16/2020,21,16,37
Marin,4/17/2020,4,2,6
San Bernardino,4/17/2020,165,123,288
Kings,4/17/2020,7,0,7
Butte,4/17/2020,1,9,10
Lassen,4/17/2020,0,5,5
Riverside,4/17/2020,215,144,359
Alameda,4/17/2020,85,91,176
Mariposa,4/17/2020,0,1,1
Sonoma,4/17/2020,2,6,8
Del Norte,4/17/2020,0,4,4
Stanislaus,4/17/2020,15,17,32
Kern,4/17/2020,36,16,52
Yolo,4/17/2020,4,0,4
Glenn,4/17/2020,0,0,0
Siskiyou,4/17/2020,0,3,3
Santa Clara,4/17/2020,140,60,200
Modoc,4/17/2020,0,1,1
Lake,4/17/2020,0,6,6
Sutter,4/17/2020,0,0,0
Mono,4/17/2020,0,0,0
Madera,4/17/2020,0,5,5
Sacramento,4/17/2020,63,46,109
Nevada,4/17/2020,2,4,6
San Diego,4/17/2020,232,111,343
Napa,4/17/2020,0,1,1
Humboldt,4/17/2020,0,4,4
Trinity,4/17/2020,0,0,0
San Benito,4/17/2020,1,0,1
Shasta,4/17/2020,1,0,1
Colusa,4/17/2020,0,1,1
Fresno,4/17/2020,31,29,60
Mendocino,4/17/2020,0,0,0
Inyo,4/17/2020,0,3,3
Imperial,4/17/2020,19,15,34
Santa Barbara,4/17/2020,36,6,42
San Luis Obispo,4/17/2020,3,11,14
San Francisco,4/17/2020,79,36,115
San Joaquin,4/17/2020,23,23,46
Los Angeles,4/17/2020,1720,634,2354
Monterey,4/17/2020,22,25,47
San Mateo,4/17/2020,51,16,67
Tehama,4/17/2020,0,0,0
Orange,4/17/2020,160,124,284
Amador,4/17/2020,0,0,0
Tuolumne,4/17/2020,0,0,0
Tulare,4/17/2020,23,5,28
Placer,4/17/2020,12,17,29
Santa Cruz,4/17/2020,2,3,5
Solano,4/17/2020,10,11,21
El Dorado,4/17/2020,0,6,6
Calaveras,4/17/2020,0,2,2
Contra Costa,4/17/2020,34,46,80
Merced,4/17/2020,0,4,4
Yuba,4/17/2020,0,5,5
Ventura,4/17/2020,23,33,56
Plumas,4/17/2020,0,1,1
Contra Costa,4/18/2020,35,44,79
Yuba,4/18/2020,0,3,3
Humboldt,4/18/2020,0,4,4
Solano,4/18/2020,9,11,20
Kings,4/18/2020,8,0,8
Tehama,4/18/2020,0,0,0
San Joaquin,4/18/2020,23,27,50
Marin,4/18/2020,3,1,4
Yolo,4/18/2020,4,0,4
Sutter,4/18/2020,0,0,0
Glenn,4/18/2020,0,0,0
Napa,4/18/2020,0,0,0
Tuolumne,4/18/2020,0,0,0
Placer,4/18/2020,11,17,28
Fresno,4/18/2020,32,35,67
Mono,4/18/2020,0,0,0
El Dorado,4/18/2020,0,8,8
Mariposa,4/18/2020,0,0,0
Madera,4/18/2020,0,7,7
Imperial,4/18/2020,21,12,33
Del Norte,4/18/2020,0,2,2
San Benito,4/18/2020,0,0,0
Ventura,4/18/2020,25,28,53
Riverside,4/18/2020,223,118,341
Trinity,4/18/2020,0,0,0
Inyo,4/18/2020,1,1,2
Kern,4/18/2020,33,14,47
Santa Barbara,4/18/2020,31,9,40
Colusa,4/18/2020,0,0,0
Modoc,4/18/2020,0,1,1
Siskiyou,4/18/2020,0,1,1
Shasta,4/18/2020,1,1,2
Orange,4/18/2020,157,120,277
Nevada,4/18/2020,4,5,9
Stanislaus,4/18/2020,14,23,37
Lassen,4/18/2020,0,1,1
Alameda,4/18/2020,82,73,155
Sonoma,4/18/2020,2,4,6
Calaveras,4/18/2020,0,0,0
Amador,4/18/2020,0,0,0
Merced,4/18/2020,0,3,3
Butte,4/18/2020,1,4,5
Lake,4/18/2020,0,0,0
Tulare,4/18/2020,27,0,27
Santa Cruz,4/18/2020,2,2,4
Plumas,4/18/2020,0,1,1
San Mateo,4/18/2020,49,12,61
San Bernardino,4/18/2020,161,108,269
San Luis Obispo,4/18/2020,3,12,15
Mendocino,4/18/2020,0,0,0
Santa Clara,4/18/2020,137,52,189
Los Angeles,4/18/2020,1709,578,2287
Monterey,4/18/2020,26,21,47
Sacramento,4/18/2020,65,46,111
San Diego,4/18/2020,223,97,320
San Francisco,4/18/2020,74,29,103
Plumas,4/19/2020,0,0,0
San Joaquin,4/19/2020,23,16,39
Napa,4/19/2020,0,3,3
Del Norte,4/19/2020,0,0,0
Trinity,4/19/2020,0,0,0
Mono,4/19/2020,0,0,0
Shasta,4/19/2020,1,0,1
Santa Barbara,4/19/2020,29,7,36
Santa Clara,4/19/2020,143,32,175
Contra Costa,4/19/2020,34,40,74
San Luis Obispo,4/19/2020,2,7,9
San Francisco,4/19/2020,73,34,107
Ventura,4/19/2020,26,26,52
San Mateo,4/19/2020,53,6,59
Solano,4/19/2020,11,10,21
El Dorado,4/19/2020,0,11,11
Madera,4/19/2020,0,7,7
Riverside,4/19/2020,236,113,349
Stanislaus,4/19/2020,13,16,29
Sonoma,4/19/2020,2,8,10
Los Angeles,4/19/2020,1739,549,2288
Glenn,4/19/2020,0,0,0
Humboldt,4/19/2020,0,3,3
Colusa,4/19/2020,1,0,1
Lassen,4/19/2020,0,1,1
San Diego,4/19/2020,226,94,320
Inyo,4/19/2020,1,0,1
Orange,4/19/2020,162,130,292
Fresno,4/19/2020,32,35,67
San Benito,4/19/2020,0,0,0
Yuba,4/19/2020,0,2,2
Sacramento,4/19/2020,65,39,104
Placer,4/19/2020,11,12,23
Monterey,4/19/2020,25,6,31
Modoc,4/19/2020,0,0,0
San Bernardino,4/19/2020,158,97,255
Marin,4/19/2020,3,7,10
Alameda,4/19/2020,84,63,147
Kings,4/19/2020,8,0,8
Nevada,4/19/2020,1,4,5
Tehama,4/19/2020,0,0,0
Siskiyou,4/19/2020,0,1,1
Calaveras,4/19/2020,0,0,0
Mendocino,4/19/2020,0,0,0
Mariposa,4/19/2020,0,0,0
Merced,4/19/2020,0,2,2
Tuolumne,4/19/2020,0,0,0
Lake,4/19/2020,0,2,2
Tulare,4/19/2020,27,0,27
Sutter,4/19/2020,0,0,0
Imperial,4/19/2020,25,8,33
Butte,4/19/2020,1,3,4
Yolo,4/19/2020,6,0,6
Amador,4/19/2020,0,0,0
Santa Cruz,4/19/2020,2,3,5
Kern,4/19/2020,34,20,54
Shasta,4/20/2020,1,0,1
Imperial,4/20/2020,25,9,34
Glenn,4/20/2020,0,0,0
Kern,4/20/2020,34,11,45
Monterey,4/20/2020,24,7,31
Marin,4/20/2020,6,4,10
Yuba,4/20/2020,0,1,1
Merced,4/20/2020,0,1,1
Humboldt,4/20/2020,0,6,6
Modoc,4/20/2020,0,0,0
Inyo,4/20/2020,1,0,1
Riverside,4/20/2020,240,145,385
Sacramento,4/20/2020,69,32,101
Lassen,4/20/2020,0,1,1
Solano,4/20/2020,10,11,21
Lake,4/20/2020,0,2,2
Alameda,4/20/2020,85,52,137
Nevada,4/20/2020,1,5,6
Sutter,4/20/2020,0,0,0
Yolo,4/20/2020,5,1,6
Madera,4/20/2020,0,6,6
Del Norte,4/20/2020,0,2,2
Tulare,4/20/2020,27,0,27
San Francisco,4/20/2020,79,27,106
Plumas,4/20/2020,0,0,0
Kings,4/20/2020,8,0,8
Siskiyou,4/20/2020,0,1,1
Santa Cruz,4/20/2020,3,1,4
San Bernardino,4/20/2020,152,200,352
Ventura,4/20/2020,29,18,47
Trinity,4/20/2020,0,0,0
Amador,4/20/2020,0,0,0
San Joaquin,4/20/2020,30,23,53
Calaveras,4/20/2020,0,1,1
San Diego,4/20/2020,238,76,314
Mendocino,4/20/2020,0,0,0
Contra Costa,4/20/2020,37,28,65
Butte,4/20/2020,1,2,3
San Mateo,4/20/2020,56,16,72
Santa Barbara,4/20/2020,30,9,39
Placer,4/20/2020,8,7,15
Orange,4/20/2020,172,102,274
Sonoma,4/20/2020,2,12,14
San Luis Obispo,4/20/2020,2,3,5
Fresno,4/20/2020,35,30,65
El Dorado,4/20/2020,0,4,4
Mariposa,4/20/2020,0,1,1
San Benito,4/20/2020,0,0,0
Napa,4/20/2020,1,2,3
Colusa,4/20/2020,1,0,1
Los Angeles,4/20/2020,1791,602,2393
Santa Clara,4/20/2020,149,42,191
Stanislaus,4/20/2020,13,18,31
Tuolumne,4/20/2020,0,0,0
Mono,4/20/2020,0,0,0
Tehama,4/20/2020,0,0,0
San Bernardino,4/21/2020,153,204,357
Santa Cruz,4/21/2020,3,2,5
Kern,4/21/2020,31,12,43
Del Norte,4/21/2020,0,1,1
Napa,4/21/2020,1,1,2
Sutter,4/21/2020,0,0,0
Merced,4/21/2020,0,3,3
Tulare,4/21/2020,27,0,27
San Francisco,4/21/2020,76,45,121
Glenn,4/21/2020,0,0,0
Placer,4/21/2020,4,18,22
Mono,4/21/2020,0,0,0
Ventura,4/21/2020,28,28,56
San Benito,4/21/2020,1,0,1
Amador,4/21/2020,0,0,0
Santa Barbara,4/21/2020,26,8,34
Yuba,4/21/2020,0,0,0
Shasta,4/21/2020,1,0,1
Madera,4/21/2020,0,5,5
Tuolumne,4/21/2020,0,0,0
Imperial,4/21/2020,23,12,35
Stanislaus,4/21/2020,11,20,31
Modoc,4/21/2020,0,1,1
Nevada,4/21/2020,1,4,5
Tehama,4/21/2020,0,0,0
Sonoma,4/21/2020,2,17,19
Yolo,4/21/2020,5,2,7
Inyo,4/21/2020,1,0,1
Mariposa,4/21/2020,0,1,1
Colusa,4/21/2020,1,0,1
Santa Clara,4/21/2020,144,34,178
Lassen,4/21/2020,0,1,1
Lake,4/21/2020,0,2,2
Humboldt,4/21/2020,0,5,5
El Dorado,4/21/2020,0,3,3
San Luis Obispo,4/21/2020,1,5,6
Orange,4/21/2020,179,129,308
Fresno,4/21/2020,35,35,70
Contra Costa,4/21/2020,33,44,77
Trinity,4/21/2020,0,0,0
Mendocino,4/21/2020,0,1,1
Calaveras,4/21/2020,0,0,0
Marin,4/21/2020,5,4,9
Siskiyou,4/21/2020,0,1,1
Alameda,4/21/2020,85,59,144
Plumas,4/21/2020,0,0,0
Solano,4/21/2020,6,17,23
San Joaquin,4/21/2020,27,24,51
San Diego,4/21/2020,221,84,305
Los Angeles,4/21/2020,1854,617,2471
Kings,4/21/2020,8,0,8
Riverside,4/21/2020,250,120,370
Butte,4/21/2020,0,1,1
San Mateo,4/21/2020,53,14,67
Sacramento,4/21/2020,54,39,93
Monterey,4/21/2020,7,4,11
San Benito,4/22/2020,0,0,0
Trinity,4/22/2020,0,0,0
Mariposa,4/22/2020,0,0,0
Colusa,4/22/2020,1,0,1
Alameda,4/22/2020,84,61,145
Glenn,4/22/2020,0,0,0
Kern,4/22/2020,32,25,57
Imperial,4/22/2020,26,8,34
Solano,4/22/2020,10,18,28
Fresno,4/22/2020,36,43,79
Sutter,4/22/2020,0,0,0
San Luis Obispo,4/22/2020,1,7,8
Santa Clara,4/22/2020,137,39,176
Kings,4/22/2020,9,0,9
Yuba,4/22/2020,0,0,0
Siskiyou,4/22/2020,0,1,1
Merced,4/22/2020,3,3,6
Nevada,4/22/2020,1,0,1
San Joaquin,4/22/2020,29,28,57
Lake,4/22/2020,0,3,3
Amador,4/22/2020,0,1,1
Butte,4/22/2020,0,0,0
Del Norte,4/22/2020,0,2,2
Tulare,4/22/2020,27,0,27
San Mateo,4/22/2020,50,17,67
Tehama,4/22/2020,0,0,0
Orange,4/22/2020,172,111,283
Shasta,4/22/2020,1,0,1
Sonoma,4/22/2020,3,16,19
Modoc,4/22/2020,0,0,0
Mendocino,4/22/2020,0,0,0
El Dorado,4/22/2020,0,5,5
Mono,4/22/2020,0,0,0
Lassen,4/22/2020,0,1,1
Los Angeles,4/22/2020,1858,590,2448
San Bernardino,4/22/2020,149,201,350
Sacramento,4/22/2020,47,23,70
Contra Costa,4/22/2020,32,52,84
Stanislaus,4/22/2020,13,20,33
Riverside,4/22/2020,229,127,356
Marin,4/22/2020,5,10,15
Madera,4/22/2020,0,3,3
Napa,4/22/2020,1,2,3
Placer,4/22/2020,5,20,25
San Diego,4/22/2020,241,77,318
Santa Barbara,4/22/2020,25,9,34
Yolo,4/22/2020,4,0,4
Humboldt,4/22/2020,0,8,8
Ventura,4/22/2020,27,30,57
Tuolumne,4/22/2020,0,1,1
Monterey,4/22/2020,6,3,9
Plumas,4/22/2020,0,0,0
San Francisco,4/22/2020,75,17,92
Santa Cruz,4/22/2020,3,4,7
Inyo,4/22/2020,1,0,1
Calaveras,4/22/2020,0,0,0
Fresno,4/23/2020,39,39,78
Kings,4/23/2020,9,0,9
Amador,4/23/2020,0,1,1
Sacramento,4/23/2020,48,40,88
Siskiyou,4/23/2020,0,1,1
Mono,4/23/2020,0,0,0
San Mateo,4/23/2020,53,19,72
Shasta,4/23/2020,1,0,1
Del Norte,4/23/2020,0,6,6
Lassen,4/23/2020,0,0,0
Monterey,4/23/2020,6,6,12
San Benito,4/23/2020,0,0,0
Humboldt,4/23/2020,0,7,7
Nevada,4/23/2020,1,3,4
Tehama,4/23/2020,0,0,0
San Luis Obispo,4/23/2020,1,4,5
Colusa,4/23/2020,1,0,1
Lake,4/23/2020,0,1,1
Yuba,4/23/2020,0,2,2
Napa,4/23/2020,1,1,2
El Dorado,4/23/2020,0,8,8
Santa Barbara,4/23/2020,24,16,40
Madera,4/23/2020,0,3,3
Plumas,4/23/2020,0,0,0
San Diego,4/23/2020,253,65,318
Kern,4/23/2020,30,11,41
Marin,4/23/2020,3,14,17
Trinity,4/23/2020,0,0,0
Orange,4/23/2020,170,143,313
Butte,4/23/2020,0,0,0
Mendocino,4/23/2020,0,1,1
Sonoma,4/23/2020,3,17,20
Contra Costa,4/23/2020,31,51,82
