county,date,confirmed_patients,suspected_patients,total_covid_patients
Orange,8/29/2020,329,48,377
Tulare,8/29/2020,51,2,53
El Dorado,8/29/2020,1,0,1
San Francisco,8/29/2020,74,11,85
Butte,8/29/2020,17,0,17
Plumas,8/29/2020,0,0,0
Yuba,8/29/2020,20,0,20
Contra Costa,8/29/2020,95,10,105
Napa,8/29/2020,2,1,3
Kings,8/29/2020,32,0,32
Inyo,8/29/2020,0,0,0
Trinity,8/29/2020,0,0,0
Siskiyou,8/29/2020,0,0,0
Modoc,8/29/2020,0,0,0
Marin,8/29/2020,11,3,14
Humboldt,8/29/2020,1,1,2
Del Norte,8/29/2020,0,1,1
Amador,8/29/2020,1,0,1
Calaveras,8/29/2020,2,1,3
Tuolumne,8/29/2020,2,0,2
Santa Clara,8/29/2020,144,22,166
San Benito,8/29/2020,2,0,2
Lake,8/29/2020,1,0,1
Kern,8/29/2020,118,6,124
San Diego,8/29/2020,230,73,303
Merced,8/29/2020,25,2,27
Alameda,8/29/2020,188,44,232
Colusa,8/29/2020,10,1,11
Riverside,8/29/2020,217,88,305
Madera,8/29/2020,27,9,36
Santa Cruz,8/29/2020,8,9,17
San Joaquin,8/29/2020,109,24,133
Los Angeles,8/29/2020,1043,415,1458
Imperial,8/29/2020,31,0,31
Ventura,8/29/2020,69,23,92
Fresno,8/29/2020,196,29,225
Placer,8/29/2020,38,23,61
Sacramento,8/29/2020,200,45,245
Tehama,8/29/2020,1,0,1
Mono,8/29/2020,0,0,0
Tehama,8/30/2020,1,0,1
Los Angeles,8/30/2020,1057,386,1443
Tulare,8/30/2020,49,3,52
Orange,8/30/2020,317,61,378
Santa Barbara,8/30/2020,36,4,40
Mono,8/30/2020,0,0,0
Nevada,8/30/2020,2,2,4
Yolo,8/30/2020,5,0,5
Placer,8/30/2020,39,20,59
Glenn,8/30/2020,0,0,0
Madera,8/30/2020,28,9,37
El Dorado,8/30/2020,1,0,1
Mendocino,8/30/2020,2,0,2
Fresno,8/30/2020,190,34,224
Mariposa,8/30/2020,0,0,0
San Luis Obispo,8/30/2020,10,3,13
Santa Clara,8/30/2020,139,25,164
Alameda,8/30/2020,183,37,220
Contra Costa,8/30/2020,91,14,105
Kings,8/30/2020,32,0,32
Yuba,8/30/2020,13,0,13
Marin,8/30/2020,12,3,15
Humboldt,8/30/2020,1,1,2
San Benito,8/30/2020,2,0,2
Sonoma,8/30/2020,33,3,36
Ventura,8/30/2020,72,30,102
San Joaquin,8/30/2020,102,14,116
Sacramento,8/30/2020,196,31,227
Inyo,8/30/2020,0,0,0
Siskiyou,8/30/2020,0,0,0
Amador,8/30/2020,1,0,1
Calaveras,8/30/2020,2,2,4
Stanislaus,8/30/2020,140,31,171
Napa,8/30/2020,3,1,4
Colusa,8/30/2020,10,1,11
Monterey,8/30/2020,35,0,35
San Diego,8/30/2020,234,71,305
Del Norte,8/30/2020,0,0,0
Butte,8/30/2020,18,0,18
San Bernardino,8/30/2020,283,54,337
Trinity,8/30/2020,0,0,0
Lassen,8/30/2020,0,0,0
San Francisco,8/30/2020,70,10,80
Kern,8/30/2020,115,4,119
Merced,8/30/2020,25,1,26
Solano,8/30/2020,33,7,40
Tuolumne,8/30/2020,2,0,2
Santa Cruz,8/30/2020,8,6,14
Imperial,8/30/2020,28,0,28
Lake,8/30/2020,0,0,0
San Mateo,8/30/2020,45,12,57
Plumas,8/30/2020,0,0,0
Shasta,8/30/2020,3,0,3
Modoc,8/30/2020,0,0,0
Sutter,8/30/2020,0,0,0
Riverside,8/30/2020,210,71,281
Yolo,8/31/2020,6,0,6
Madera,8/31/2020,29,12,41
Tuolumne,8/31/2020,1,0,1
Modoc,8/31/2020,0,0,0
Santa Barbara,8/31/2020,41,6,47
Mariposa,8/31/2020,0,0,0
Orange,8/31/2020,307,61,368
Contra Costa,8/31/2020,81,28,109
Glenn,8/31/2020,0,0,0
Monterey,8/31/2020,30,0,30
Humboldt,8/31/2020,1,0,1
Colusa,8/31/2020,10,1,11
Yuba,8/31/2020,12,0,12
Stanislaus,8/31/2020,143,46,189
Mendocino,8/31/2020,2,0,2
Placer,8/31/2020,39,22,61
Del Norte,8/31/2020,0,0,0
Siskiyou,8/31/2020,0,0,0
Nevada,8/31/2020,2,4,6
San Bernardino,8/31/2020,292,63,355
San Mateo,8/31/2020,41,14,55
San Francisco,8/31/2020,74,12,86
Alameda,8/31/2020,173,46,219
Santa Cruz,8/31/2020,9,4,13
Marin,8/31/2020,14,1,15
San Joaquin,8/31/2020,102,14,116
Riverside,8/31/2020,216,54,270
Merced,8/31/2020,27,1,28
Inyo,8/31/2020,0,0,0
San Benito,8/31/2020,2,0,2
Kern,8/31/2020,122,6,128
San Luis Obispo,8/31/2020,10,4,14
Solano,8/31/2020,32,6,38
San Diego,8/31/2020,233,73,306
Fresno,8/31/2020,184,25,209
Los Angeles,8/31/2020,1048,415,1463
Santa Clara,8/31/2020,134,26,160
Sonoma,8/31/2020,31,10,41
Plumas,8/31/2020,0,0,0
Lassen,8/31/2020,0,0,0
Trinity,8/31/2020,0,0,0
Butte,8/31/2020,17,1,18
Kings,8/31/2020,39,1,40
Sutter,8/31/2020,0,0,0
Mono,8/31/2020,0,0,0
Tehama,8/31/2020,1,0,1
Napa,8/31/2020,1,0,1
Sacramento,8/31/2020,196,47,243
Imperial,8/31/2020,27,0,27
Ventura,8/31/2020,65,15,80
Shasta,8/31/2020,2,0,2
Tulare,8/31/2020,50,1,51
Calaveras,8/31/2020,2,1,3
Lake,8/31/2020,0,0,0
El Dorado,8/31/2020,0,0,0
Amador,8/31/2020,1,0,1
Tehama,9/1/2020,2,0,2
Lassen,9/1/2020,0,0,0
Humboldt,9/1/2020,1,2,3
Napa,9/1/2020,2,1,3
Stanislaus,9/1/2020,135,43,178
Merced,9/1/2020,26,1,27
San Joaquin,9/1/2020,102,13,115
Marin,9/1/2020,12,2,14
Mendocino,9/1/2020,4,0,4
Madera,9/1/2020,27,10,37
Orange,9/1/2020,295,64,359
Yolo,9/1/2020,7,0,7
San Francisco,9/1/2020,77,16,93
San Mateo,9/1/2020,37,15,52
Monterey,9/1/2020,28,1,29
Tuolumne,9/1/2020,2,0,2
Amador,9/1/2020,2,0,2
Nevada,9/1/2020,1,1,2
Modoc,9/1/2020,0,0,0
Solano,9/1/2020,31,7,38
San Luis Obispo,9/1/2020,9,4,13
Placer,9/1/2020,37,26,63
Kings,9/1/2020,38,0,38
Siskiyou,9/1/2020,0,0,0
Trinity,9/1/2020,0,0,0
Glenn,9/1/2020,0,0,0
Butte,9/1/2020,17,0,17
Alameda,9/1/2020,162,48,210
Kern,9/1/2020,117,10,127
Santa Cruz,9/1/2020,10,6,16
Plumas,9/1/2020,0,0,0
Santa Barbara,9/1/2020,38,5,43
Riverside,9/1/2020,207,57,264
Los Angeles,9/1/2020,1062,426,1488
Yuba,9/1/2020,13,0,13
Colusa,9/1/2020,6,1,7
Del Norte,9/1/2020,0,0,0
San Diego,9/1/2020,231,76,307
El Dorado,9/1/2020,0,2,2
Contra Costa,9/1/2020,76,22,98
Tulare,9/1/2020,50,2,52
San Benito,9/1/2020,4,0,4
Sutter,9/1/2020,0,0,0
Inyo,9/1/2020,0,1,1
Mono,9/1/2020,0,0,0
Shasta,9/1/2020,3,0,3
Santa Clara,9/1/2020,132,27,159
Mariposa,9/1/2020,0,0,0
Sacramento,9/1/2020,187,47,234
Ventura,9/1/2020,68,31,99
Lake,9/1/2020,0,1,1
Calaveras,9/1/2020,2,2,4
Fresno,9/1/2020,172,34,206
Imperial,9/1/2020,29,0,29
San Bernardino,9/1/2020,283,66,349
Sonoma,9/1/2020,29,8,37
Tehama,9/2/2020,2,0,2
Ventura,9/2/2020,61,30,91
Butte,9/2/2020,17,1,18
Contra Costa,9/2/2020,77,17,94
Tulare,9/2/2020,53,1,54
Santa Clara,9/2/2020,130,28,158
Santa Barbara,9/2/2020,39,5,44
Mendocino,9/2/2020,4,0,4
Fresno,9/2/2020,161,27,188
Los Angeles,9/2/2020,992,386,1378
Mariposa,9/2/2020,0,0,0
San Joaquin,9/2/2020,103,22,125
Placer,9/2/2020,38,20,58
Monterey,9/2/2020,29,1,30
Madera,9/2/2020,25,9,34
Yuba,9/2/2020,17,0,17
Siskiyou,9/2/2020,0,0,0
San Bernardino,9/2/2020,264,59,323
Imperial,9/2/2020,29,0,29
San Diego,9/2/2020,220,70,290
San Luis Obispo,9/2/2020,9,5,14
El Dorado,9/2/2020,0,1,1
Kern,9/2/2020,120,6,126
Glenn,9/2/2020,0,0,0
Calaveras,9/2/2020,4,2,6
Shasta,9/2/2020,4,0,4
Sutter,9/2/2020,0,0,0
San Mateo,9/2/2020,36,11,47
San Francisco,9/2/2020,70,12,82
Mono,9/2/2020,0,0,0
Amador,9/2/2020,3,0,3
Kings,9/2/2020,31,0,31
Plumas,9/2/2020,0,0,0
Lassen,9/2/2020,0,0,0
Tuolumne,9/2/2020,2,1,3
Alameda,9/2/2020,150,41,191
Merced,9/2/2020,27,1,28
Solano,9/2/2020,32,6,38
Humboldt,9/2/2020,1,2,3
Del Norte,9/2/2020,0,0,0
Marin,9/2/2020,14,1,15
Santa Cruz,9/2/2020,11,4,15
Trinity,9/2/2020,0,0,0
Napa,9/2/2020,1,0,1
Sonoma,9/2/2020,31,6,37
Riverside,9/2/2020,189,67,256
Colusa,9/2/2020,1,0,1
Lake,9/2/2020,0,0,0
Nevada,9/2/2020,1,1,2
San Benito,9/2/2020,2,0,2
Modoc,9/2/2020,0,0,0
Orange,9/2/2020,272,60,332
Stanislaus,9/2/2020,131,34,165
Yolo,9/2/2020,8,0,8
Sacramento,9/2/2020,193,29,222
Inyo,9/2/2020,0,1,1
Humboldt,9/3/2020,1,0,1
Solano,9/3/2020,32,13,45
Mono,9/3/2020,0,0,0
Glenn,9/3/2020,0,0,0
Sonoma,9/3/2020,33,2,35
Mariposa,9/3/2020,0,0,0
Santa Clara,9/3/2020,125,27,152
San Bernardino,9/3/2020,252,43,295
Imperial,9/3/2020,27,0,27
Riverside,9/3/2020,185,37,222
Calaveras,9/3/2020,5,0,5
Marin,9/3/2020,16,3,19
Yolo,9/3/2020,8,0,8
Stanislaus,9/3/2020,124,34,158
Yuba,9/3/2020,13,0,13
San Joaquin,9/3/2020,93,19,112
Inyo,9/3/2020,0,0,0
Ventura,9/3/2020,57,19,76
Tehama,9/3/2020,2,0,2
El Dorado,9/3/2020,0,2,2
Sutter,9/3/2020,0,0,0
Santa Cruz,9/3/2020,9,7,16
Contra Costa,9/3/2020,71,13,84
Napa,9/3/2020,3,2,5
Lassen,9/3/2020,0,0,0
Alameda,9/3/2020,147,54,201
Colusa,9/3/2020,1,0,1
Del Norte,9/3/2020,0,0,0
Orange,9/3/2020,264,44,308
Santa Barbara,9/3/2020,40,7,47
Sacramento,9/3/2020,190,32,222
Madera,9/3/2020,25,12,37
Amador,9/3/2020,2,0,2
Nevada,9/3/2020,1,0,1
Trinity,9/3/2020,0,0,0
Butte,9/3/2020,20,1,21
San Luis Obispo,9/3/2020,9,1,10
Monterey,9/3/2020,27,1,28
Modoc,9/3/2020,0,0,0
Tulare,9/3/2020,46,5,51
Lake,9/3/2020,0,0,0
San Benito,9/3/2020,2,0,2
Tuolumne,9/3/2020,2,0,2
Siskiyou,9/3/2020,0,0,0
San Francisco,9/3/2020,63,11,74
Kings,9/3/2020,32,0,32
Los Angeles,9/3/2020,984,362,1346
Merced,9/3/2020,27,3,30
Fresno,9/3/2020,156,25,181
Placer,9/3/2020,41,24,65
Plumas,9/3/2020,0,0,0
San Diego,9/3/2020,218,71,289
Mendocino,9/3/2020,4,0,4
San Mateo,9/3/2020,33,8,41
Kern,9/3/2020,119,6,125
Shasta,9/3/2020,4,0,4
San Bernardino,9/4/2020,239,44,283
Nevada,9/4/2020,1,2,3
Colusa,9/4/2020,1,1,2
Mendocino,9/4/2020,4,0,4
Sonoma,9/4/2020,37,6,43
Plumas,9/4/2020,0,0,0
Mariposa,9/4/2020,0,0,0
Placer,9/4/2020,41,16,57
El Dorado,9/4/2020,0,1,1
Kings,9/4/2020,35,0,35
Santa Cruz,9/4/2020,8,2,10
Amador,9/4/2020,2,0,2
San Mateo,9/4/2020,37,5,42
San Francisco,9/4/2020,58,7,65
Los Angeles,9/4/2020,966,355,1321
Imperial,9/4/2020,25,0,25
Yolo,9/4/2020,8,0,8
Del Norte,9/4/2020,0,0,0
Riverside,9/4/2020,177,39,216
Merced,9/4/2020,23,0,23
Tehama,9/4/2020,2,0,2
Tulare,9/4/2020,44,4,48
Shasta,9/4/2020,3,3,6
Sacramento,9/4/2020,177,33,210
Sutter,9/4/2020,0,0,0
Alameda,9/4/2020,142,35,177
Napa,9/4/2020,3,1,4
Santa Clara,9/4/2020,122,11,133
Solano,9/4/2020,32,8,40
Humboldt,9/4/2020,1,1,2
Marin,9/4/2020,12,3,15
Kern,9/4/2020,98,1,99
San Benito,9/4/2020,3,0,3
Mono,9/4/2020,0,0,0
Butte,9/4/2020,15,0,15
Stanislaus,9/4/2020,126,33,159
Tuolumne,9/4/2020,1,0,1
Monterey,9/4/2020,26,3,29
Contra Costa,9/4/2020,73,14,87
San Diego,9/4/2020,219,59,278
Madera,9/4/2020,25,8,33
Trinity,9/4/2020,0,0,0
Fresno,9/4/2020,153,23,176
Orange,9/4/2020,274,54,328
San Joaquin,9/4/2020,86,15,101
Lake,9/4/2020,0,1,1
Calaveras,9/4/2020,4,1,5
Siskiyou,9/4/2020,0,0,0
San Luis Obispo,9/4/2020,7,3,10
Lassen,9/4/2020,0,0,0
Inyo,9/4/2020,0,1,1
Ventura,9/4/2020,50,30,80
Modoc,9/4/2020,0,0,0
Yuba,9/4/2020,16,0,16
Glenn,9/4/2020,0,0,0
Santa Barbara,9/4/2020,37,6,43
Tehama,9/5/2020,2,0,2
Butte,9/5/2020,15,1,16
Inyo,9/5/2020,0,0,0
Tuolumne,9/5/2020,1,0,1
Los Angeles,9/5/2020,943,361,1304
Monterey,9/5/2020,27,2,29
San Francisco,9/5/2020,51,6,57
Imperial,9/5/2020,26,1,27
Tulare,9/5/2020,52,4,56
Nevada,9/5/2020,0,0,0
Glenn,9/5/2020,0,0,0
Lassen,9/5/2020,0,0,0
Alameda,9/5/2020,145,42,187
Del Norte,9/5/2020,0,1,1
San Mateo,9/5/2020,35,8,43
Colusa,9/5/2020,1,0,1
Fresno,9/5/2020,153,20,173
Lake,9/5/2020,1,0,1
Shasta,9/5/2020,3,1,4
San Diego,9/5/2020,193,67,260
Orange,9/5/2020,253,54,307
Yolo,9/5/2020,10,0,10
San Joaquin,9/5/2020,88,16,104
Placer,9/5/2020,42,21,63
San Bernardino,9/5/2020,243,39,282
Sonoma,9/5/2020,34,7,41
Stanislaus,9/5/2020,131,31,162
San Benito,9/5/2020,1,0,1
Amador,9/5/2020,1,0,1
Santa Clara,9/5/2020,124,17,141
Kern,9/5/2020,83,4,87
Humboldt,9/5/2020,1,1,2
Sacramento,9/5/2020,168,36,204
Madera,9/5/2020,23,13,36
Siskiyou,9/5/2020,0,0,0
Santa Barbara,9/5/2020,41,7,48
Ventura,9/5/2020,50,27,77
Merced,9/5/2020,26,3,29
Trinity,9/5/2020,0,0,0
El Dorado,9/5/2020,0,0,0
Solano,9/5/2020,37,8,45
Kings,9/5/2020,32,1,33
Santa Cruz,9/5/2020,8,3,11
San Luis Obispo,9/5/2020,6,1,7
Mendocino,9/5/2020,4,0,4
Marin,9/5/2020,13,7,20
Plumas,9/5/2020,0,0,0
Mono,9/5/2020,0,0,0
Yuba,9/5/2020,19,0,19
Napa,9/5/2020,3,2,5
Contra Costa,9/5/2020,73,26,99
Calaveras,9/5/2020,3,3,6
Modoc,9/5/2020,0,0,0
Sutter,9/5/2020,0,0,0
Mariposa,9/5/2020,0,0,0
Riverside,9/5/2020,171,49,220
Yuba,9/6/2020,19,0,19
Trinity,9/6/2020,0,0,0
Shasta,9/6/2020,2,1,3
Glenn,9/6/2020,0,0,0
Sonoma,9/6/2020,37,14,51
Lake,9/6/2020,0,1,1
Marin,9/6/2020,13,8,21
San Francisco,9/6/2020,57,17,74
Imperial,9/6/2020,30,1,31
Inyo,9/6/2020,0,0,0
Colusa,9/6/2020,0,1,1
Sacramento,9/6/2020,161,42,203
Stanislaus,9/6/2020,134,31,165
Humboldt,9/6/2020,1,1,2
Del Norte,9/6/2020,0,1,1
Siskiyou,9/6/2020,0,0,0
Sutter,9/6/2020,0,0,0
San Bernardino,9/6/2020,228,39,267
Mono,9/6/2020,0,0,0
Calaveras,9/6/2020,2,2,4
Mariposa,9/6/2020,0,0,0
Tehama,9/6/2020,2,0,2
Modoc,9/6/2020,0,0,0
Lassen,9/6/2020,0,0,0
Merced,9/6/2020,27,6,33
Amador,9/6/2020,2,0,2
Santa Barbara,9/6/2020,44,7,51
Fresno,9/6/2020,152,18,170
Yolo,9/6/2020,9,1,10
Solano,9/6/2020,32,8,40
San Mateo,9/6/2020,30,16,46
Nevada,9/6/2020,2,0,2
San Diego,9/6/2020,195,71,266
Monterey,9/6/2020,28,1,29
Los Angeles,9/6/2020,942,372,1314
San Luis Obispo,9/6/2020,7,3,10
Madera,9/6/2020,25,11,36
El Dorado,9/6/2020,0,0,0
Placer,9/6/2020,41,26,67
Plumas,9/6/2020,0,0,0
Butte,9/6/2020,20,1,21
Tulare,9/6/2020,55,4,59
Kings,9/6/2020,35,1,36
San Benito,9/6/2020,1,0,1
Napa,9/6/2020,4,5,9
Riverside,9/6/2020,171,59,230
Mendocino,9/6/2020,5,0,5
Ventura,9/6/2020,52,33,85
Contra Costa,9/6/2020,68,24,92
Alameda,9/6/2020,146,43,189
Kern,9/6/2020,80,12,92
Tuolumne,9/6/2020,0,0,0
Santa Cruz,9/6/2020,9,5,14
Santa Clara,9/6/2020,116,18,134
Orange,9/6/2020,238,64,302
San Joaquin,9/6/2020,86,9,95
Placer,9/7/2020,37,28,65
Stanislaus,9/7/2020,142,38,180
Mariposa,9/7/2020,0,0,0
Alameda,9/7/2020,148,57,205
Siskiyou,9/7/2020,0,0,0
Solano,9/7/2020,27,9,36
Imperial,9/7/2020,29,1,30
Ventura,9/7/2020,58,21,79
Shasta,9/7/2020,2,1,3
Colusa,9/7/2020,0,0,0
Inyo,9/7/2020,0,0,0
Sutter,9/7/2020,0,0,0
San Diego,9/7/2020,211,72,283
Kings,9/7/2020,32,2,34
Sacramento,9/7/2020,141,41,182
San Bernardino,9/7/2020,224,42,266
Santa Cruz,9/7/2020,10,5,15
San Mateo,9/7/2020,39,15,54
Yuba,9/7/2020,18,0,18
Tehama,9/7/2020,1,0,1
Glenn,9/7/2020,0,0,0
Lake,9/7/2020,0,0,0
Sonoma,9/7/2020,38,9,47
Nevada,9/7/2020,2,0,2
San Francisco,9/7/2020,63,15,78
Merced,9/7/2020,22,6,28
San Luis Obispo,9/7/2020,10,2,12
Amador,9/7/2020,2,0,2
Calaveras,9/7/2020,1,1,2
San Benito,9/7/2020,1,0,1
Monterey,9/7/2020,28,0,28
Los Angeles,9/7/2020,936,414,1350
Fresno,9/7/2020,153,16,169
El Dorado,9/7/2020,0,0,0
Marin,9/7/2020,14,3,17
Yolo,9/7/2020,8,0,8
Tuolumne,9/7/2020,0,0,0
Humboldt,9/7/2020,1,1,2
Orange,9/7/2020,242,47,289
Mendocino,9/7/2020,4,0,4
Tulare,9/7/2020,57,2,59
Del Norte,9/7/2020,0,0,0
San Joaquin,9/7/2020,87,12,99
Trinity,9/7/2020,0,0,0
Plumas,9/7/2020,0,0,0
Riverside,9/7/2020,175,68,243
Mono,9/7/2020,0,0,0
Modoc,9/7/2020,0,0,0
Lassen,9/7/2020,0,0,0
Santa Barbara,9/7/2020,39,4,43
Santa Clara,9/7/2020,118,15,133
Napa,9/7/2020,5,2,7
Butte,9/7/2020,23,0,23
Madera,9/7/2020,25,6,31
Kern,9/7/2020,84,13,97
Contra Costa,9/7/2020,64,18,82
Contra Costa,9/8/2020,62,29,91
Marin,9/8/2020,14,3,17
San Luis Obispo,9/8/2020,10,5,15
Ventura,9/8/2020,55,25,80
Inyo,9/8/2020,0,0,0
Santa Cruz,9/8/2020,14,2,16
Calaveras,9/8/2020,1,5,6
El Dorado,9/8/2020,0,0,0
Sacramento,9/8/2020,157,46,203
Tulare,9/8/2020,60,6,66
Siskiyou,9/8/2020,0,0,0
Fresno,9/8/2020,145,23,168
Madera,9/8/2020,22,11,33
Alameda,9/8/2020,154,50,204
Yuba,9/8/2020,17,0,17
Mono,9/8/2020,0,0,0
Sutter,9/8/2020,0,0,0
Kings,9/8/2020,36,2,38
Los Angeles,9/8/2020,940,415,1355
Glenn,9/8/2020,0,0,0
San Francisco,9/8/2020,64,18,82
Del Norte,9/8/2020,0,0,0
Santa Barbara,9/8/2020,37,2,39
Napa,9/8/2020,4,0,4
Lake,9/8/2020,1,1,2
Colusa,9/8/2020,0,2,2
Lassen,9/8/2020,0,0,0
Kern,9/8/2020,89,9,98
Santa Clara,9/8/2020,121,16,137
Shasta,9/8/2020,2,1,3
San Bernardino,9/8/2020,214,61,275
Stanislaus,9/8/2020,144,50,194
San Diego,9/8/2020,219,59,278
Mendocino,9/8/2020,4,1,5
Modoc,9/8/2020,0,0,0
Nevada,9/8/2020,2,0,2
Amador,9/8/2020,1,0,1
San Joaquin,9/8/2020,89,18,107
Butte,9/8/2020,24,1,25
Humboldt,9/8/2020,3,1,4
Merced,9/8/2020,20,2,22
Tuolumne,9/8/2020,0,1,1
Yolo,9/8/2020,8,0,8
Imperial,9/8/2020,22,0,22
Riverside,9/8/2020,185,76,261
Trinity,9/8/2020,0,0,0
Tehama,9/8/2020,1,0,1
Plumas,9/8/2020,0,0,0
Solano,9/8/2020,33,10,43
Placer,9/8/2020,37,25,62
Mariposa,9/8/2020,0,0,0
Orange,9/8/2020,234,60,294
San Mateo,9/8/2020,43,27,70
Sonoma,9/8/2020,36,6,42
Monterey,9/8/2020,30,2,32
San Benito,9/8/2020,0,0,0
Kern,9/9/2020,94,8,102
Alameda,9/9/2020,149,40,189
Ventura,9/9/2020,55,32,87
Amador,9/9/2020,2,0,2
Napa,9/9/2020,5,1,6
Yolo,9/9/2020,7,2,9
Tehama,9/9/2020,1,0,1
San Joaquin,9/9/2020,83,10,93
San Francisco,9/9/2020,66,18,84
Tulare,9/9/2020,58,7,65
San Benito,9/9/2020,0,0,0
San Mateo,9/9/2020,47,29,76
Inyo,9/9/2020,0,0,0
Kings,9/9/2020,36,1,37
Modoc,9/9/2020,0,0,0
Sutter,9/9/2020,0,0,0
Tuolumne,9/9/2020,1,0,1
Santa Cruz,9/9/2020,12,3,15
Santa Clara,9/9/2020,127,14,141
Monterey,9/9/2020,27,1,28
Santa Barbara,9/9/2020,38,1,39
Orange,9/9/2020,239,70,309
Los Angeles,9/9/2020,889,365,1254
Humboldt,9/9/2020,4,0,4
El Dorado,9/9/2020,0,0,0
Shasta,9/9/2020,3,0,3
Nevada,9/9/2020,2,0,2
Madera,9/9/2020,20,8,28
Sacramento,9/9/2020,155,35,190
Colusa,9/9/2020,0,4,4
Yuba,9/9/2020,20,0,20
Lake,9/9/2020,1,0,1
Stanislaus,9/9/2020,136,23,159
Riverside,9/9/2020,189,49,238
Imperial,9/9/2020,24,0,24
Mono,9/9/2020,0,0,0
San Bernardino,9/9/2020,210,60,270
Lassen,9/9/2020,0,0,0
Sonoma,9/9/2020,31,3,34
Del Norte,9/9/2020,0,0,0
Plumas,9/9/2020,0,0,0
Placer,9/9/2020,36,14,50
San Luis Obispo,9/9/2020,8,1,9
Mariposa,9/9/2020,0,0,0
Butte,9/9/2020,21,0,21
Glenn,9/9/2020,0,0,0
Calaveras,9/9/2020,2,3,5
Contra Costa,9/9/2020,62,19,81
Siskiyou,9/9/2020,0,0,0
Fresno,9/9/2020,133,24,157
Mendocino,9/9/2020,1,0,1
Solano,9/9/2020,29,10,39
Merced,9/9/2020,18,1,19
Marin,9/9/2020,13,6,19
Trinity,9/9/2020,0,0,0
San Diego,9/9/2020,234,75,309
Yolo,9/10/2020,7,1,8
Amador,9/10/2020,2,0,2
Santa Barbara,9/10/2020,36,3,39
Lake,9/10/2020,0,2,2
Trinity,9/10/2020,0,0,0
Humboldt,9/10/2020,4,1,5
Contra Costa,9/10/2020,66,17,83
San Francisco,9/10/2020,67,22,89
Sutter,9/10/2020,0,0,0
Kings,9/10/2020,31,1,32
Mono,9/10/2020,0,0,0
Mariposa,9/10/2020,0,0,0
Del Norte,9/10/2020,0,0,0
San Benito,9/10/2020,0,0,0
San Luis Obispo,9/10/2020,7,3,10
Santa Clara,9/10/2020,114,18,132
Colusa,9/10/2020,0,2,2
Kern,9/10/2020,82,3,85
Lassen,9/10/2020,0,0,0
Napa,9/10/2020,4,1,5
Modoc,9/10/2020,0,0,0
Marin,9/10/2020,10,6,16
Placer,9/10/2020,34,25,59
San Mateo,9/10/2020,34,17,51
Ventura,9/10/2020,55,35,90
San Joaquin,9/10/2020,75,9,84
Mendocino,9/10/2020,2,0,2
Sacramento,9/10/2020,151,32,183
El Dorado,9/10/2020,1,0,1
Santa Cruz,9/10/2020,14,1,15
Los Angeles,9/10/2020,877,342,1219
Nevada,9/10/2020,3,0,3
Madera,9/10/2020,19,5,24
Sonoma,9/10/2020,31,3,34
San Bernardino,9/10/2020,205,54,259
Orange,9/10/2020,223,54,277
Fresno,9/10/2020,122,21,143
Tulare,9/10/2020,53,6,59
Imperial,9/10/2020,22,0,22
Monterey,9/10/2020,28,0,28
Yuba,9/10/2020,19,0,19
Solano,9/10/2020,27,8,35
Glenn,9/10/2020,0,0,0
Stanislaus,9/10/2020,125,30,155
Tehama,9/10/2020,1,0,1
Alameda,9/10/2020,142,41,183
Inyo,9/10/2020,0,0,0
Shasta,9/10/2020,3,0,3
Butte,9/10/2020,17,0,17
Tuolumne,9/10/2020,1,0,1
San Diego,9/10/2020,232,53,285
Siskiyou,9/10/2020,1,0,1
Calaveras,9/10/2020,2,5,7
Merced,9/10/2020,13,9,22
Riverside,9/10/2020,180,51,231
Plumas,9/10/2020,0,0,0
Yolo,9/11/2020,5,0,5
Inyo,9/11/2020,0,0,0
San Bernardino,9/11/2020,201,49,250
Calaveras,9/11/2020,2,1,3
Colusa,9/11/2020,0,3,3
Amador,9/11/2020,2,0,2
Stanislaus,9/11/2020,119,44,163
Kern,9/11/2020,66,17,83
Fresno,9/11/2020,112,15,127
Contra Costa,9/11/2020,73,20,93
Santa Cruz,9/11/2020,16,0,16
Del Norte,9/11/2020,0,0,0
