county,date,confirmed_patients,suspected_patients,total_covid_patients
Calaveras,1/24/2021,4,0,4
Sonoma,1/24/2021,92,2,94
Santa Clara,1/24/2021,554,17,571
Fresno,1/24/2021,536,39,575
San Benito,1/24/2021,14,0,14
Yuba,1/24/2021,53,0,53
Sutter,1/24/2021,0,0,0
Orange,1/24/2021,1703,45,1748
Colusa,1/24/2021,8,0,8
Lassen,1/24/2021,7,0,7
Monterey,1/24/2021,161,0,161
Sacramento,1/24/2021,377,24,401
Kern,1/24/2021,367,12,379
Santa Barbara,1/24/2021,112,84,196
Shasta,1/24/2021,42,0,42
Modoc,1/24/2021,0,0,0
San Diego,1/24/2021,1440,51,1491
Lake,1/24/2021,9,0,9
Merced,1/24/2021,51,0,51
San Joaquin,1/24/2021,288,12,300
Madera,1/24/2021,54,5,59
Riverside,1/24/2021,1304,108,1412
San Francisco,1/24/2021,192,5,197
Alameda,1/24/2021,406,39,445
Siskiyou,1/24/2021,2,0,2
Kings,1/24/2021,96,0,96
Ventura,1/24/2021,417,19,436
Placer,1/24/2021,114,14,128
Tulare,1/24/2021,148,7,155
Del Norte,1/24/2021,0,0,0
San Francisco,1/25/2021,190,9,199
San Luis Obispo,1/25/2021,46,1,47
Placer,1/25/2021,109,14,123
Inyo,1/25/2021,6,0,6
Imperial,1/25/2021,82,2,84
Lassen,1/25/2021,7,0,7
Orange,1/25/2021,1677,37,1714
Santa Cruz,1/25/2021,55,3,58
Tulare,1/25/2021,151,10,161
Marin,1/25/2021,29,1,30
Madera,1/25/2021,56,8,64
Ventura,1/25/2021,405,20,425
Sonoma,1/25/2021,96,4,100
Alameda,1/25/2021,396,40,436
Sacramento,1/25/2021,371,21,392
Nevada,1/25/2021,12,0,12
Amador,1/25/2021,11,0,11
Butte,1/25/2021,49,0,49
Merced,1/25/2021,54,0,54
Stanislaus,1/25/2021,302,14,316
Humboldt,1/25/2021,12,2,14
Santa Clara,1/25/2021,538,11,549
San Mateo,1/25/2021,147,8,155
Santa Barbara,1/25/2021,192,8,200
Del Norte,1/25/2021,0,0,0
Fresno,1/25/2021,553,16,569
Riverside,1/25/2021,1265,124,1389
San Diego,1/25/2021,1429,63,1492
Siskiyou,1/25/2021,2,0,2
Monterey,1/25/2021,158,0,158
Mendocino,1/25/2021,16,2,18
Solano,1/25/2021,159,12,171
Tuolumne,1/25/2021,10,0,10
Lake,1/25/2021,9,0,9
Contra Costa,1/25/2021,224,17,241
Colusa,1/25/2021,4,0,4
Shasta,1/25/2021,43,0,43
San Benito,1/25/2021,14,0,14
Trinity,1/25/2021,0,0,0
Yuba,1/25/2021,54,0,54
Calaveras,1/25/2021,3,0,3
Mariposa,1/25/2021,0,0,0
El Dorado,1/25/2021,19,1,20
Los Angeles,1/25/2021,6213,287,6500
San Joaquin,1/25/2021,280,6,286
Modoc,1/25/2021,0,0,0
Sutter,1/25/2021,0,0,0
Kings,1/25/2021,95,0,95
Glenn,1/25/2021,1,2,3
Yolo,1/25/2021,28,0,28
Tehama,1/25/2021,14,0,14
Plumas,1/25/2021,0,0,0
San Bernardino,1/25/2021,1248,51,1299
Mono,1/25/2021,0,0,0
Napa,1/25/2021,24,0,24
Kern,1/25/2021,378,9,387
Glenn,1/26/2021,1,2,3
Humboldt,1/26/2021,13,11,24
Sutter,1/26/2021,0,0,0
El Dorado,1/26/2021,21,1,22
Butte,1/26/2021,51,1,52
Santa Clara,1/26/2021,503,15,518
Santa Barbara,1/26/2021,203,9,212
Siskiyou,1/26/2021,2,0,2
San Bernardino,1/26/2021,1209,52,1261
San Francisco,1/26/2021,181,6,187
Sacramento,1/26/2021,382,22,404
Stanislaus,1/26/2021,293,10,303
Mono,1/26/2021,0,0,0
Del Norte,1/26/2021,0,0,0
Amador,1/26/2021,11,0,11
Monterey,1/26/2021,161,0,161
Los Angeles,1/26/2021,6026,345,6371
Ventura,1/26/2021,418,12,430
Lassen,1/26/2021,6,0,6
Kings,1/26/2021,89,1,90
Napa,1/26/2021,21,0,21
San Benito,1/26/2021,12,0,12
Contra Costa,1/26/2021,222,14,236
Madera,1/26/2021,58,9,67
Plumas,1/26/2021,0,0,0
Imperial,1/26/2021,77,5,82
Sonoma,1/26/2021,97,1,98
Yuba,1/26/2021,54,0,54
Mariposa,1/26/2021,0,0,0
Calaveras,1/26/2021,4,0,4
Santa Cruz,1/26/2021,58,3,61
Kern,1/26/2021,358,11,369
Solano,1/26/2021,153,9,162
Colusa,1/26/2021,4,0,4
Trinity,1/26/2021,0,0,0
Nevada,1/26/2021,12,0,12
San Diego,1/26/2021,1410,62,1472
Tehama,1/26/2021,10,0,10
Modoc,1/26/2021,0,0,0
Lake,1/26/2021,9,0,9
Mendocino,1/26/2021,16,2,18
Alameda,1/26/2021,382,36,418
Yolo,1/26/2021,27,0,27
Fresno,1/26/2021,543,29,572
San Luis Obispo,1/26/2021,47,2,49
Inyo,1/26/2021,7,0,7
Tulare,1/26/2021,152,8,160
San Mateo,1/26/2021,147,13,160
Merced,1/26/2021,54,0,54
Tuolumne,1/26/2021,8,0,8
Orange,1/26/2021,1639,55,1694
Riverside,1/26/2021,1238,99,1337
Placer,1/26/2021,113,13,126
Marin,1/26/2021,29,3,32
San Joaquin,1/26/2021,269,10,279
Shasta,1/26/2021,39,0,39
Inyo,1/27/2021,6,0,6
Napa,1/27/2021,20,1,21
Plumas,1/27/2021,0,0,0
Santa Barbara,1/27/2021,193,5,198
Kern,1/27/2021,338,8,346
San Joaquin,1/27/2021,255,16,271
Solano,1/27/2021,147,14,161
Imperial,1/27/2021,75,1,76
Glenn,1/27/2021,3,2,5
Tehama,1/27/2021,8,0,8
Yolo,1/27/2021,22,0,22
Santa Cruz,1/27/2021,51,1,52
Stanislaus,1/27/2021,288,13,301
Ventura,1/27/2021,411,8,419
Siskiyou,1/27/2021,2,0,2
Lassen,1/27/2021,3,0,3
Mariposa,1/27/2021,0,0,0
Modoc,1/27/2021,0,0,0
Kings,1/27/2021,76,1,77
Orange,1/27/2021,1592,32,1624
El Dorado,1/27/2021,18,2,20
San Mateo,1/27/2021,149,12,161
Trinity,1/27/2021,0,0,0
Monterey,1/27/2021,163,1,164
Mono,1/27/2021,0,0,0
Tulare,1/27/2021,153,4,157
Sonoma,1/27/2021,94,6,100
Nevada,1/27/2021,9,0,9
Alameda,1/27/2021,359,41,400
Tuolumne,1/27/2021,6,0,6
San Bernardino,1/27/2021,1164,68,1232
Riverside,1/27/2021,1191,122,1313
San Diego,1/27/2021,1343,61,1404
Yuba,1/27/2021,51,0,51
Butte,1/27/2021,46,1,47
Contra Costa,1/27/2021,197,11,208
Colusa,1/27/2021,4,0,4
Amador,1/27/2021,10,0,10
Merced,1/27/2021,53,0,53
Los Angeles,1/27/2021,5855,355,6210
Santa Clara,1/27/2021,509,12,521
Marin,1/27/2021,28,2,30
San Benito,1/27/2021,11,0,11
Placer,1/27/2021,105,15,120
Lake,1/27/2021,9,1,10
Calaveras,1/27/2021,4,0,4
Sutter,1/27/2021,0,0,0
Sacramento,1/27/2021,379,23,402
San Luis Obispo,1/27/2021,46,0,46
Mendocino,1/27/2021,15,2,17
Humboldt,1/27/2021,12,11,23
Fresno,1/27/2021,500,33,533
Del Norte,1/27/2021,0,0,0
Madera,1/27/2021,63,6,69
Shasta,1/27/2021,37,0,37
San Francisco,1/27/2021,178,1,179
Plumas,1/28/2021,0,0,0
Trinity,1/28/2021,0,0,0
Merced,1/28/2021,52,0,52
Santa Clara,1/28/2021,487,9,496
Shasta,1/28/2021,32,0,32
Orange,1/28/2021,1521,33,1554
Santa Cruz,1/28/2021,39,1,40
El Dorado,1/28/2021,15,3,18
San Bernardino,1/28/2021,1128,51,1179
Modoc,1/28/2021,0,0,0
Los Angeles,1/28/2021,5669,372,6041
Mono,1/28/2021,0,0,0
Mariposa,1/28/2021,0,0,0
Lake,1/28/2021,7,1,8
Santa Barbara,1/28/2021,180,7,187
Fresno,1/28/2021,472,28,500
Tuolumne,1/28/2021,7,0,7
Nevada,1/28/2021,13,0,13
Lassen,1/28/2021,3,0,3
Solano,1/28/2021,147,11,158
Mendocino,1/28/2021,15,2,17
Tehama,1/28/2021,11,0,11
Napa,1/28/2021,21,0,21
Imperial,1/28/2021,75,0,75
Riverside,1/28/2021,1128,124,1252
Sonoma,1/28/2021,89,6,95
San Francisco,1/28/2021,176,2,178
Butte,1/28/2021,41,1,42
Alameda,1/28/2021,353,46,399
Kern,1/28/2021,317,9,326
San Mateo,1/28/2021,146,10,156
Marin,1/28/2021,27,2,29
Calaveras,1/28/2021,3,0,3
San Diego,1/28/2021,1328,55,1383
Colusa,1/28/2021,7,0,7
Yolo,1/28/2021,19,0,19
Ventura,1/28/2021,386,7,393
Inyo,1/28/2021,4,0,4
Kings,1/28/2021,81,0,81
San Benito,1/28/2021,12,0,12
San Joaquin,1/28/2021,253,16,269
Siskiyou,1/28/2021,2,1,3
Del Norte,1/28/2021,0,1,1
Yuba,1/28/2021,49,0,49
San Luis Obispo,1/28/2021,43,0,43
Madera,1/28/2021,67,6,73
Glenn,1/28/2021,3,2,5
Monterey,1/28/2021,149,2,151
Stanislaus,1/28/2021,281,10,291
Sacramento,1/28/2021,365,16,381
Placer,1/28/2021,115,17,132
Sutter,1/28/2021,0,0,0
Amador,1/28/2021,12,0,12
Tulare,1/28/2021,153,7,160
Contra Costa,1/28/2021,189,14,203
Humboldt,1/28/2021,13,4,17
Calaveras,1/29/2021,3,0,3
Sonoma,1/29/2021,86,3,89
Orange,1/29/2021,1442,36,1478
Santa Barbara,1/29/2021,182,10,192
Lake,1/29/2021,8,0,8
Santa Clara,1/29/2021,487,8,495
San Diego,1/29/2021,1317,58,1375
Solano,1/29/2021,149,9,158
El Dorado,1/29/2021,15,0,15
Ventura,1/29/2021,376,14,390
Amador,1/29/2021,12,2,14
Trinity,1/29/2021,0,0,0
San Joaquin,1/29/2021,223,12,235
Tuolumne,1/29/2021,6,0,6
Alameda,1/29/2021,347,39,386
San Benito,1/29/2021,12,0,12
Sacramento,1/29/2021,352,17,369
Riverside,1/29/2021,1103,122,1225
San Mateo,1/29/2021,136,12,148
Kern,1/29/2021,298,10,308
Modoc,1/29/2021,1,0,1
Tulare,1/29/2021,154,5,159
Siskiyou,1/29/2021,0,0,0
Butte,1/29/2021,43,0,43
Fresno,1/29/2021,475,27,502
Del Norte,1/29/2021,0,1,1
Yolo,1/29/2021,17,0,17
Santa Cruz,1/29/2021,45,2,47
Yuba,1/29/2021,42,0,42
Lassen,1/29/2021,2,0,2
Mariposa,1/29/2021,0,0,0
San Luis Obispo,1/29/2021,46,2,48
Plumas,1/29/2021,0,0,0
Los Angeles,1/29/2021,5511,325,5836
Stanislaus,1/29/2021,270,13,283
Merced,1/29/2021,43,0,43
Glenn,1/29/2021,3,2,5
Sutter,1/29/2021,0,0,0
Colusa,1/29/2021,9,0,9
Mendocino,1/29/2021,13,1,14
San Francisco,1/29/2021,190,6,196
Monterey,1/29/2021,151,1,152
Inyo,1/29/2021,4,0,4
Madera,1/29/2021,59,9,68
Marin,1/29/2021,27,3,30
Tehama,1/29/2021,10,0,10
Nevada,1/29/2021,13,0,13
Placer,1/29/2021,118,17,135
Napa,1/29/2021,18,0,18
Humboldt,1/29/2021,8,3,11
Kings,1/29/2021,75,0,75
Imperial,1/29/2021,80,0,80
Shasta,1/29/2021,28,0,28
Mono,1/29/2021,0,0,0
San Bernardino,1/29/2021,1100,41,1141
Contra Costa,1/29/2021,187,18,205
San Luis Obispo,1/30/2021,46,1,47
San Joaquin,1/30/2021,207,18,225
Sonoma,1/30/2021,85,6,91
Yuba,1/30/2021,43,8,51
Napa,1/30/2021,18,0,18
Madera,1/30/2021,51,6,57
Butte,1/30/2021,43,0,43
Orange,1/30/2021,1412,38,1450
Imperial,1/30/2021,76,2,78
Modoc,1/30/2021,1,0,1
Alameda,1/30/2021,330,38,368
Los Angeles,1/30/2021,5398,320,5718
Colusa,1/30/2021,5,0,5
Amador,1/30/2021,9,0,9
El Dorado,1/30/2021,17,1,18
Yolo,1/30/2021,16,0,16
Monterey,1/30/2021,142,2,144
Humboldt,1/30/2021,8,7,15
Inyo,1/30/2021,3,0,3
Solano,1/30/2021,134,9,143
Calaveras,1/30/2021,1,0,1
Plumas,1/30/2021,0,0,0
Fresno,1/30/2021,460,34,494
Kern,1/30/2021,298,8,306
Riverside,1/30/2021,1028,109,1137
San Diego,1/30/2021,1310,42,1352
Lake,1/30/2021,7,0,7
Merced,1/30/2021,41,0,41
San Bernardino,1/30/2021,1060,52,1112
Kings,1/30/2021,64,0,64
Ventura,1/30/2021,362,14,376
Stanislaus,1/30/2021,262,15,277
Santa Clara,1/30/2021,475,7,482
San Francisco,1/30/2021,177,4,181
Tehama,1/30/2021,9,0,9
San Benito,1/30/2021,12,0,12
Mono,1/30/2021,0,0,0
Mendocino,1/30/2021,12,1,13
Shasta,1/30/2021,26,0,26
San Mateo,1/30/2021,146,10,156
Siskiyou,1/30/2021,0,0,0
Santa Cruz,1/30/2021,40,2,42
Santa Barbara,1/30/2021,179,7,186
Del Norte,1/30/2021,0,0,0
Tuolumne,1/30/2021,5,1,6
Sacramento,1/30/2021,346,14,360
Sutter,1/30/2021,0,0,0
Placer,1/30/2021,121,16,137
Lassen,1/30/2021,2,0,2
Trinity,1/30/2021,0,0,0
Mariposa,1/30/2021,0,0,0
Contra Costa,1/30/2021,182,18,200
Marin,1/30/2021,27,4,31
Glenn,1/30/2021,3,2,5
Tulare,1/30/2021,146,4,150
Nevada,1/30/2021,11,0,11
Placer,1/31/2021,107,11,118
Mendocino,1/31/2021,10,1,11
Stanislaus,1/31/2021,246,11,257
Solano,1/31/2021,126,4,130
Mariposa,1/31/2021,0,0,0
Sonoma,1/31/2021,78,2,80
Santa Clara,1/31/2021,454,12,466
Colusa,1/31/2021,5,0,5
Contra Costa,1/31/2021,172,16,188
Fresno,1/31/2021,452,29,481
San Joaquin,1/31/2021,212,15,227
Butte,1/31/2021,43,0,43
Madera,1/31/2021,51,10,61
Imperial,1/31/2021,72,0,72
Riverside,1/31/2021,979,129,1108
San Francisco,1/31/2021,170,4,174
Monterey,1/31/2021,128,1,129
Sutter,1/31/2021,0,0,0
Del Norte,1/31/2021,0,0,0
Merced,1/31/2021,39,0,39
Nevada,1/31/2021,1,11,12
San Benito,1/31/2021,10,0,10
Kings,1/31/2021,84,0,84
Orange,1/31/2021,1362,30,1392
Lassen,1/31/2021,4,0,4
Marin,1/31/2021,29,3,32
Yuba,1/31/2021,43,7,50
Trinity,1/31/2021,0,0,0
Lake,1/31/2021,7,0,7
Ventura,1/31/2021,351,16,367
Kern,1/31/2021,293,6,299
Los Angeles,1/31/2021,5259,300,5559
Tehama,1/31/2021,11,0,11
San Bernardino,1/31/2021,1036,39,1075
Calaveras,1/31/2021,2,0,2
Santa Cruz,1/31/2021,42,2,44
Inyo,1/31/2021,4,0,4
Alameda,1/31/2021,318,31,349
Napa,1/31/2021,15,0,15
Tuolumne,1/31/2021,9,0,9
Shasta,1/31/2021,25,0,25
Mono,1/31/2021,0,0,0
Glenn,1/31/2021,3,2,5
Humboldt,1/31/2021,10,2,12
Santa Barbara,1/31/2021,170,8,178
Amador,1/31/2021,8,0,8
Plumas,1/31/2021,0,0,0
El Dorado,1/31/2021,12,0,12
Modoc,1/31/2021,1,0,1
San Luis Obispo,1/31/2021,45,2,47
Tulare,1/31/2021,149,5,154
Yolo,1/31/2021,12,0,12
Siskiyou,1/31/2021,0,0,0
Sacramento,1/31/2021,339,14,353
San Mateo,1/31/2021,139,5,144
San Diego,1/31/2021,1306,41,1347
Mariposa,2/1/2021,0,0,0
San Joaquin,2/1/2021,222,15,237
Napa,2/1/2021,16,0,16
Madera,2/1/2021,44,2,46
Santa Barbara,2/1/2021,161,8,169
Amador,2/1/2021,8,0,8
Mendocino,2/1/2021,9,1,10
Sutter,2/1/2021,0,0,0
Yolo,2/1/2021,14,0,14
San Bernardino,2/1/2021,1017,46,1063
Marin,2/1/2021,28,4,32
Sacramento,2/1/2021,325,19,344
Trinity,2/1/2021,0,0,0
Kings,2/1/2021,90,2,92
Humboldt,2/1/2021,7,3,10
Sonoma,2/1/2021,81,3,84
Kern,2/1/2021,287,5,292
San Francisco,2/1/2021,174,1,175
Glenn,2/1/2021,0,0,0
Siskiyou,2/1/2021,3,0,3
Plumas,2/1/2021,0,0,0
Modoc,2/1/2021,1,0,1
Shasta,2/1/2021,21,0,21
Nevada,2/1/2021,10,0,10
Tulare,2/1/2021,142,7,149
El Dorado,2/1/2021,11,0,11
Lake,2/1/2021,5,0,5
Inyo,2/1/2021,3,0,3
Alameda,2/1/2021,314,39,353
Lassen,2/1/2021,5,0,5
Imperial,2/1/2021,73,0,73
Tehama,2/1/2021,10,0,10
Merced,2/1/2021,38,0,38
Santa Clara,2/1/2021,466,12,478
San Diego,2/1/2021,1258,76,1334
Fresno,2/1/2021,480,28,508
Santa Cruz,2/1/2021,41,1,42
Riverside,2/1/2021,954,131,1085
Mono,2/1/2021,0,0,0
Monterey,2/1/2021,122,3,125
Tuolumne,2/1/2021,8,1,9
Orange,2/1/2021,1330,22,1352
San Benito,2/1/2021,9,0,9
Solano,2/1/2021,139,7,146
Colusa,2/1/2021,4,0,4
San Luis Obispo,2/1/2021,47,1,48
Butte,2/1/2021,37,0,37
Los Angeles,2/1/2021,5165,278,5443
Calaveras,2/1/2021,2,0,2
Ventura,2/1/2021,330,10,340
San Mateo,2/1/2021,132,3,135
Placer,2/1/2021,102,14,116
Contra Costa,2/1/2021,181,18,199
Del Norte,2/1/2021,0,0,0
Stanislaus,2/1/2021,256,12,268
Yuba,2/1/2021,39,6,45
Solano,2/2/2021,128,10,138
Riverside,2/2/2021,920,127,1047
Tulare,2/2/2021,135,7,142
Del Norte,2/2/2021,0,0,0
Santa Barbara,2/2/2021,167,7,174
Mendocino,2/2/2021,9,1,10
Imperial,2/2/2021,66,0,66
Colusa,2/2/2021,4,0,4
Tuolumne,2/2/2021,3,0,3
Sutter,2/2/2021,0,0,0
Humboldt,2/2/2021,11,3,14
Shasta,2/2/2021,18,0,18
Alameda,2/2/2021,316,35,351
San Luis Obispo,2/2/2021,38,0,38
Contra Costa,2/2/2021,181,21,202
Santa Clara,2/2/2021,436,12,448
Nevada,2/2/2021,10,1,11
Sacramento,2/2/2021,305,14,319
San Benito,2/2/2021,9,0,9
San Mateo,2/2/2021,132,7,139
Stanislaus,2/2/2021,256,21,277
San Diego,2/2/2021,1233,51,1284
San Bernardino,2/2/2021,969,43,1012
Santa Cruz,2/2/2021,40,0,40
Modoc,2/2/2021,1,0,1
Orange,2/2/2021,1298,33,1331
Napa,2/2/2021,16,0,16
Fresno,2/2/2021,448,39,487
Siskiyou,2/2/2021,3,0,3
Kern,2/2/2021,273,8,281
Marin,2/2/2021,25,3,28
Inyo,2/2/2021,3,0,3
San Francisco,2/2/2021,176,7,183
Mariposa,2/2/2021,0,0,0
Amador,2/2/2021,8,0,8
San Joaquin,2/2/2021,217,9,226
Madera,2/2/2021,39,4,43
Placer,2/2/2021,108,14,122
Mono,2/2/2021,0,0,0
Yuba,2/2/2021,45,4,49
Merced,2/2/2021,36,0,36
Yolo,2/2/2021,12,0,12
Calaveras,2/2/2021,2,0,2
Tehama,2/2/2021,10,0,10
Kings,2/2/2021,85,0,85
Ventura,2/2/2021,333,9,342
Glenn,2/2/2021,0,0,0
Butte,2/2/2021,34,0,34
Los Angeles,2/2/2021,4990,314,5304
Monterey,2/2/2021,118,2,120
Sonoma,2/2/2021,81,6,87
Lassen,2/2/2021,5,0,5
Lake,2/2/2021,4,0,4
Plumas,2/2/2021,0,0,0
Trinity,2/2/2021,0,0,0
El Dorado,2/2/2021,10,0,10
Sutter,2/3/2021,0,0,0
Tuolumne,2/3/2021,5,0,5
Santa Cruz,2/3/2021,42,1,43
San Joaquin,2/3/2021,209,6,215
Solano,2/3/2021,128,7,135
San Bernardino,2/3/2021,945,49,994
San Diego,2/3/2021,1202,52,1254
Colusa,2/3/2021,4,0,4
Shasta,2/3/2021,19,0,19
Yuba,2/3/2021,48,3,51
Tehama,2/3/2021,11,0,11
Fresno,2/3/2021,435,33,468
Inyo,2/3/2021,5,0,5
Mendocino,2/3/2021,5,1,6
San Benito,2/3/2021,12,0,12
Contra Costa,2/3/2021,165,15,180
Imperial,2/3/2021,61,1,62
Santa Clara,2/3/2021,418,9,427
Humboldt,2/3/2021,11,3,14
Placer,2/3/2021,108,19,127
Orange,2/3/2021,1238,41,1279
Sonoma,2/3/2021,72,9,81
Siskiyou,2/3/2021,3,0,3
Monterey,2/3/2021,118,2,120
San Luis Obispo,2/3/2021,42,1,43
Lake,2/3/2021,3,0,3
Napa,2/3/2021,17,0,17
Mariposa,2/3/2021,0,0,0
Nevada,2/3/2021,10,1,11
Yolo,2/3/2021,12,0,12
Glenn,2/3/2021,0,0,0
San Mateo,2/3/2021,125,6,131
Riverside,2/3/2021,864,127,991
Los Angeles,2/3/2021,4796,346,5142
San Francisco,2/3/2021,166,9,175
Mono,2/3/2021,0,0,0
Trinity,2/3/2021,0,0,0
Kings,2/3/2021,76,1,77
Alameda,2/3/2021,301,39,340
Kern,2/3/2021,260,10,270
Santa Barbara,2/3/2021,164,4,168
Tulare,2/3/2021,137,13,150
Modoc,2/3/2021,2,0,2
Ventura,2/3/2021,340,8,348
Butte,2/3/2021,32,0,32
Amador,2/3/2021,7,0,7
Marin,2/3/2021,23,2,25
El Dorado,2/3/2021,9,0,9
Lassen,2/3/2021,2,0,2
Plumas,2/3/2021,0,0,0
Stanislaus,2/3/2021,250,22,272
Del Norte,2/3/2021,0,0,0
Calaveras,2/3/2021,3,0,3
Madera,2/3/2021,32,7,39
Merced,2/3/2021,38,0,38
Sacramento,2/3/2021,302,14,316
Stanislaus,2/4/2021,245,21,266
San Mateo,2/4/2021,119,5,124
Fresno,2/4/2021,419,24,443
Ventura,2/4/2021,319,9,328
Placer,2/4/2021,114,15,129
Inyo,2/4/2021,4,0,4
Mariposa,2/4/2021,0,0,0
Imperial,2/4/2021,55,1,56
Merced,2/4/2021,40,0,40
Modoc,2/4/2021,2,0,2
San Luis Obispo,2/4/2021,43,0,43
Santa Cruz,2/4/2021,45,0,45
Shasta,2/4/2021,21,0,21
Santa Clara,2/4/2021,381,14,395
Los Angeles,2/4/2021,4607,319,4926
Tulare,2/4/2021,139,8,147
Mono,2/4/2021,0,0,0
Glenn,2/4/2021,0,0,0
Marin,2/4/2021,25,4,29
Yolo,2/4/2021,13,0,13
Riverside,2/4/2021,847,117,964
Alameda,2/4/2021,302,42,344
Calaveras,2/4/2021,4,0,4
Humboldt,2/4/2021,14,2,16
San Joaquin,2/4/2021,196,8,204
San Bernardino,2/4/2021,906,50,956
Contra Costa,2/4/2021,174,20,194
Santa Barbara,2/4/2021,161,6,167
San Benito,2/4/2021,12,0,12
El Dorado,2/4/2021,8,0,8
Lake,2/4/2021,2,0,2
Madera,2/4/2021,34,5,39
Kings,2/4/2021,72,1,73
Monterey,2/4/2021,114,0,114
Butte,2/4/2021,32,0,32
San Francisco,2/4/2021,171,5,176
Tuolumne,2/4/2021,7,1,8
Nevada,2/4/2021,14,2,16
Sacramento,2/4/2021,292,18,310
Orange,2/4/2021,1233,36,1269
Amador,2/4/2021,6,1,7
Sutter,2/4/2021,0,0,0
Solano,2/4/2021,118,11,129
Napa,2/4/2021,14,0,14
Kern,2/4/2021,259,5,264
Trinity,2/4/2021,0,0,0
Yuba,2/4/2021,43,3,46
Siskiyou,2/4/2021,2,0,2
Sonoma,2/4/2021,69,8,77
San Diego,2/4/2021,1142,47,1189
Mendocino,2/4/2021,8,1,9
Colusa,2/4/2021,5,0,5
Lassen,2/4/2021,2,0,2
Plumas,2/4/2021,0,0,0
Del Norte,2/4/2021,0,0,0
Tehama,2/4/2021,9,0,9
San Joaquin,2/5/2021,172,6,178
Tehama,2/5/2021,11,0,11
Merced,2/5/2021,38,0,38
Sutter,2/5/2021,0,0,0
Stanislaus,2/5/2021,229,24,253
Sonoma,2/5/2021,62,2,64
Calaveras,2/5/2021,5,0,5
Nevada,2/5/2021,11,4,15
Orange,2/5/2021,1164,29,1193
San Mateo,2/5/2021,115,9,124
Plumas,2/5/2021,0,0,0
Santa Barbara,2/5/2021,154,6,160
Kern,2/5/2021,256,2,258
Napa,2/5/2021,14,0,14
Lake,2/5/2021,2,0,2
Yuba,2/5/2021,43,3,46
Madera,2/5/2021,39,8,47
Fresno,2/5/2021,405,29,434
Inyo,2/5/2021,6,0,6
Mariposa,2/5/2021,0,0,0
Marin,2/5/2021,23,2,25
San Bernardino,2/5/2021,905,45,950
Modoc,2/5/2021,2,0,2
Lassen,2/5/2021,2,0,2
Alameda,2/5/2021,294,34,328
Glenn,2/5/2021,0,0,0
Amador,2/5/2021,7,1,8
Colusa,2/5/2021,4,0,4
Monterey,2/5/2021,109,1,110
San Francisco,2/5/2021,172,4,176
Contra Costa,2/5/2021,166,21,187
Sacramento,2/5/2021,260,17,277
El Dorado,2/5/2021,6,0,6
Imperial,2/5/2021,49,0,49
Butte,2/5/2021,31,0,31
Humboldt,2/5/2021,15,1,16
San Luis Obispo,2/5/2021,36,1,37
Riverside,2/5/2021,821,109,930
Del Norte,2/5/2021,0,0,0
San Diego,2/5/2021,1100,38,1138
Siskiyou,2/5/2021,2,0,2
Santa Cruz,2/5/2021,48,1,49
Shasta,2/5/2021,20,0,20
Mendocino,2/5/2021,8,0,8
Solano,2/5/2021,110,9,119
Tulare,2/5/2021,134,9,143
San Benito,2/5/2021,12,0,12
Los Angeles,2/5/2021,4421,338,4759
Ventura,2/5/2021,305,11,316
