date,confirmed_patients,suspected_patients,total_covid_patients
2020-03-29,1,6,7
2020-03-29,0,0,0
2020-03-29,7,20,27
2020-03-29,6,13,19
2020-03-29,33,123,156
2020-03-29,2,12,14
2020-03-29,0,0,0
2020-03-29,46,27,73
2020-03-29,0,0,0
2020-03-29,1,5,6
2020-03-29,0,6,6
2020-03-29,0,0,0
2020-03-29,121,211,332
2020-03-29,489,1132,1621
2020-03-29,0,0,0
2020-03-29,0,0,0
2020-03-29,1,7,8
2020-03-29,7,12,19
2020-03-29,0,2,2
2020-03-29,20,48,68
2020-03-29,44,78,122
2020-03-29,141,72,213
2020-03-29,1,11,12
2020-03-29,0,0,0
2020-03-29,1,2,3
2020-03-29,18,14,32
2020-03-29,0,0,0
2020-03-29,36,91,127
2020-03-29,74,167,241
2020-03-29,34,35,69
2020-03-29,2,5,7
2020-03-29,0,1,1
2020-03-29,1,0,1
2020-03-29,36,27,63
2020-03-29,1,10,11
2020-03-29,2,16,18
2020-03-29,5,100,105
2020-03-29,8,116,124
2020-03-29,7,27,34
2020-03-29,0,0,0
2020-03-29,7,13,20
2020-03-29,1,1,2
2020-03-29,15,21,36
2020-03-29,0,26,26
2020-03-29,16,57,73
2020-03-29,23,0,0
2020-03-29,0,0,0
2020-03-29,0,1,1
2020-03-29,23,62,85
2020-03-29,2,3,5
2020-03-29,24,85,109
2020-03-29,0,0,0
2020-03-29,50,73,123
2020-03-29,0,0,0
2020-03-29,0,1,1
2020-03-30,0,4,4
2020-03-30,0,31,31
2020-03-30,146,446,592
2020-03-30,2,2,4
2020-03-30,67,179,246
2020-03-30,1,4,5
2020-03-30,98,251,349
2020-03-30,4,12,16
2020-03-30,5,11,16
2020-03-30,0,0,0
2020-03-30,19,19,38
2020-03-30,19,109,128
2020-03-30,10,9,19
2020-03-30,26,17,43
2020-03-30,0,0,0
2020-03-30,1,9,10
2020-03-30,0,0,0
2020-03-30,0,1,1
2020-03-30,5,21,26
2020-03-30,11,16,27
2020-03-30,153,93,246
2020-03-30,18,123,141
2020-03-30,0,1,1
2020-03-30,0,2,2
2020-03-30,59,89,148
2020-03-30,2,12,14
2020-03-30,58,92,150
2020-03-30,60,133,193
2020-03-30,17,51,68
2020-03-30,601,1277,1878
2020-03-30,3,8,11
2020-03-30,0,1,1
2020-03-30,3,17,20
2020-03-30,2,11,13
2020-03-30,25,82,107
2020-03-30,28,30,58
2020-03-30,19,25,44
2020-03-30,7,22,29
2020-03-30,0,1,1
2020-03-30,0,3,3
2020-03-30,1,8,9
2020-03-30,0,1,1
2020-03-30,1,5,6
2020-03-30,1,2,3
2020-03-30,15,16,31
2020-03-30,0,9,9
2020-03-30,10,88,98
2020-03-30,25,54,79
2020-03-30,0,2,2
2020-03-30,0,0,0
2020-03-30,1,1,2
2020-03-30,45,86,131
2020-03-30,0,0,0
2020-03-30,56,40,96
2020-03-30,0,2,2
2020-03-31,1,3,4
2020-03-31,15,15,30
2020-03-31,53,110,163
2020-03-31,8,18,26
2020-03-31,14,63,77
2020-03-31,19,29,48
2020-03-31,158,408,566
2020-03-31,20,31,51
2020-03-31,30,274,304
2020-03-31,0,0,0
2020-03-31,0,0,0
2020-03-31,36,40,76
2020-03-31,27,54,81
2020-03-31,0,1,1
2020-03-31,18,27,45
2020-03-31,10,9,19
2020-03-31,0,0,0
2020-03-31,0,1,1
2020-03-31,0,1,1
2020-03-31,12,100,112
2020-03-31,44,54,98
2020-03-31,0,0,0
2020-03-31,67,69,136
2020-03-31,713,1239,1952
2020-03-31,60,23,83
2020-03-31,6,14,20
2020-03-31,3,11,14
2020-03-31,4,20,24
2020-03-31,9,14,23
2020-03-31,155,98,253
2020-03-31,0,0,0
2020-03-31,7,15,22
2020-03-31,1,5,6
2020-03-31,0,0,0
2020-03-31,0,7,7
2020-03-31,1,5,6
2020-03-31,56,94,150
2020-03-31,82,231,313
2020-03-31,0,37,37
2020-03-31,21,90,111
2020-03-31,80,155,235
2020-03-31,0,4,4
2020-03-31,1,0,1
2020-03-31,0,83,0
2020-03-31,0,1,1
2020-03-31,1,10,11
2020-03-31,1,11,12
2020-03-31,3,2,5
2020-03-31,105,233,338
2020-03-31,11,15,26
2020-03-31,0,2,2
2020-03-31,1,3,4
2020-03-31,0,19,19
2020-03-31,2,21,23
2020-03-31,0,4,4
2020-04-01,0,1,1
2020-04-01,25,28,53
2020-04-01,4,15,19
2020-04-01,1,3,4
2020-04-01,0,7,7
2020-04-01,2,2,4
2020-04-01,0,5,5
2020-04-01,2,0,2
2020-04-01,0,1,1
2020-04-01,95,196,291
2020-04-01,25,39,64
2020-04-01,0,3,3
2020-04-01,2,6,8
2020-04-01,7,89,96
2020-04-01,0,0,0
2020-04-01,0,1,1
2020-04-01,0,0,0
2020-04-01,0,2,2
2020-04-01,1,4,5
2020-04-01,0,5,5
2020-04-01,1,9,10
2020-04-01,4,12,16
2020-04-01,739,1332,2071
2020-04-01,0,0,0
2020-04-01,168,340,508
2020-04-01,117,221,338
2020-04-01,31,42,73
2020-04-01,0,1,1
2020-04-01,85,182,267
2020-04-01,14,8,22
2020-04-01,57,35,92
2020-04-01,15,45,60
2020-04-01,67,66,133
2020-04-01,0,0,0
2020-04-01,0,0,0
2020-04-01,9,19,28
2020-04-01,3,15,18
2020-04-01,5,33,38
2020-04-01,8,10,18
2020-04-01,3,3,6
2020-04-01,23,23,46
2020-04-01,22,96,118
2020-04-01,5,18,23
2020-04-01,0,0,0
2020-04-01,52,76,128
2020-04-01,2,12,14
2020-04-01,13,16,29
2020-04-01,2,24,26
2020-04-01,160,85,245
2020-04-01,36,54,90
2020-04-01,14,18,32
2020-04-01,53,138,191
2020-04-01,0,0,0
2020-04-01,25,35,60
2020-04-01,0,2,2
2020-04-01,19,101,120
2020-04-02,32,15,47
2020-04-02,15,8,23
2020-04-02,17,74,91
2020-04-02,7,16,23
2020-04-02,136,181,317
2020-04-02,26,44,70
2020-04-02,0,1,1
2020-04-02,0,1,1
2020-04-02,0,0,0
2020-04-02,0,7,7
2020-04-02,1,4,5
2020-04-02,818,1270,2088
2020-04-02,1,8,9
2020-04-02,163,101,264
2020-04-02,62,40,102
2020-04-02,0,3,3
2020-04-02,0,0,0
2020-04-02,71,92,163
2020-04-02,18,2,20
2020-04-02,0,3,3
2020-04-02,1,7,8
2020-04-02,0,0,0
2020-04-02,75,60,135
2020-04-02,15,12,27
2020-04-02,0,1,1
2020-04-02,4,26,30
2020-04-02,0,0,0
2020-04-02,57,76,133
2020-04-02,5,5,10
2020-04-02,0,1,1
2020-04-02,32,38,70
2020-04-02,0,1,1
2020-04-02,3,2,5
2020-04-02,14,14,28
2020-04-02,27,111,138
2020-04-02,4,26,30
2020-04-02,4,16,20
2020-04-02,8,18,26
2020-04-02,4,4,8
2020-04-02,8,102,110
2020-04-02,0,3,3
2020-04-02,2,25,27
2020-04-02,144,343,487
2020-04-02,129,225,354
2020-04-02,2,0,2
2020-04-02,2,4,6
2020-04-02,126,185,311
2020-04-02,4,5,9
2020-04-02,2,6,8
2020-04-02,0,0,0
2020-04-02,27,77,104
2020-04-02,30,43,73
2020-04-02,0,1,1
2020-04-02,38,58,96
2020-04-02,0,1,1
2020-04-02,42,42,84
2020-04-03,6,15,21
2020-04-03,0,0,0
2020-04-03,0,3,3
2020-04-03,0,0,0
2020-04-03,0,5,5
2020-04-03,164,83,247
2020-04-03,31,39,70
2020-04-03,0,5,5
2020-04-03,1,7,8
2020-04-03,65,39,104
2020-04-03,28,45,73
2020-04-03,131,182,313
2020-04-03,22,116,138
2020-04-03,15,81,96
2020-04-03,0,2,2
2020-04-03,1,9,10
2020-04-03,118,204,322
2020-04-03,2,12,14
2020-04-03,0,0,0
2020-04-03,962,1239,2201
2020-04-03,3,19,22
2020-04-03,8,102,110
2020-04-03,35,73,108
2020-04-03,0,0,0
2020-04-03,16,21,37
2020-04-03,77,76,153
2020-04-03,4,8,12
2020-04-03,64,74,138
2020-04-03,21,23,44
2020-04-03,0,3,3
2020-04-03,9,7,16
2020-04-03,0,2,2
2020-04-03,4,5,9
2020-04-03,0,0,0
2020-04-03,105,182,287
2020-04-03,1,0,1
2020-04-03,41,38,79
2020-04-03,80,71,151
2020-04-03,6,24,30
2020-04-03,15,9,24
2020-04-03,16,18,34
2020-04-03,0,0,0
2020-04-03,0,0,0
2020-04-03,27,29,56
2020-04-03,2,9,11
2020-04-03,0,1,1
2020-04-03,4,5,9
2020-04-03,2,7,9
2020-04-03,0,2,2
2020-04-03,0,0,0
2020-04-03,171,308,479
2020-04-03,0,3,3
2020-04-03,2,4,6
2020-04-03,18,2,20
2020-04-03,6,16,22
2020-04-03,2,0,2
2020-04-04,0,2,2
2020-04-04,4,6,10
2020-04-04,1,8,9
2020-04-04,2,16,18
2020-04-04,4,5,9
2020-04-04,0,1,1
2020-04-04,126,186,312
2020-04-04,0,4,4
2020-04-04,0,1,1
2020-04-04,0,0,0
2020-04-04,60,95,155
2020-04-04,2,3,5
2020-04-04,2,6,8
2020-04-04,0,2,2
2020-04-04,16,25,41
2020-04-04,159,79,238
2020-04-04,5,16,21
2020-04-04,0,0,0
2020-04-04,30,47,77
2020-04-04,21,127,148
2020-04-04,7,16,23
2020-04-04,20,2,22
2020-04-04,16,19,35
2020-04-04,0,3,3
2020-04-04,0,1,1
2020-04-04,0,0,0
2020-04-04,43,30,73
2020-04-04,4,6,10
2020-04-04,0,0,0
2020-04-04,3,14,17
2020-04-04,0,2,2
2020-04-04,69,76,145
2020-04-04,66,19,85
2020-04-04,28,34,62
2020-04-04,0,0,0
2020-04-04,1,9,10
2020-04-04,0,0,0
2020-04-04,30,45,75
2020-04-04,1,0,1
2020-04-04,9,10,19
2020-04-04,8,106,114
2020-04-04,5,14,19
2020-04-04,177,218,395
2020-04-04,15,9,24
2020-04-04,8,20,28
2020-04-04,138,254,392
2020-04-04,143,213,356
2020-04-04,0,0,0
2020-04-04,0,4,4
2020-04-04,23,14,37
2020-04-04,1,4,5
2020-04-04,14,93,107
2020-04-04,2,10,12
2020-04-04,33,54,87
2020-04-04,80,65,145
2020-04-04,1007,1190,2197
2020-04-05,20,2,22
2020-04-05,0,0,0
2020-04-05,6,21,27
2020-04-05,69,15,84
2020-04-05,15,17,32
2020-04-05,0,0,0
2020-04-05,4,20,24
2020-04-05,0,3,3
2020-04-05,129,207,336
2020-04-05,72,87,159
2020-04-05,79,68,147
2020-04-05,0,0,0
2020-04-05,3,1,4
2020-04-05,0,2,2
2020-04-05,2,4,6
2020-04-05,2,11,13
2020-04-05,9,106,115
2020-04-05,3,6,9
2020-04-05,179,220,399
2020-04-05,29,35,64
2020-04-05,0,0,0
2020-04-05,144,221,365
2020-04-05,1094,1082,2176
2020-04-05,5,15,20
2020-04-05,0,1,1
2020-04-05,2,16,18
2020-04-05,5,12,17
2020-04-05,16,6,22
2020-04-05,0,0,0
2020-04-05,1,8,9
2020-04-05,9,9,18
2020-04-05,0,0,0
2020-04-05,0,2,2
2020-04-05,0,0,0
2020-04-05,16,15,31
2020-04-05,0,1,1
2020-04-05,146,240,386
2020-04-05,16,81,97
2020-04-05,8,11,19
2020-04-05,0,0,0
2020-04-05,15,10,25
2020-04-05,0,4,4
2020-04-05,46,24,70
2020-04-05,30,25,55
2020-04-05,23,13,36
2020-04-05,0,0,0
2020-04-05,21,128,149
2020-04-05,23,27,50
2020-04-05,0,1,1
2020-04-05,64,78,142
2020-04-05,166,69,235
2020-04-05,2,3,5
2020-04-05,3,0,3
2020-04-05,31,26,57
2020-04-05,1,0,1
2020-04-05,1,14,15
2020-04-06,9,114,123
2020-04-06,31,32,63
2020-04-06,79,70,149
2020-04-06,1,19,20
2020-04-06,4,0,4
2020-04-06,0,0,0
2020-04-06,0,0,0
2020-04-06,68,20,88
2020-04-06,18,81,99
2020-04-06,0,0,0
2020-04-06,3,3,6
2020-04-06,34,26,60
2020-04-06,15,21,36
2020-04-06,129,193,322
2020-04-06,2,3,5
2020-04-06,12,24,36
2020-04-06,0,3,3
2020-04-06,0,0,0
2020-04-06,4,2,6
2020-04-06,28,28,56
2020-04-06,1166,1070,2236
2020-04-06,22,106,128
2020-04-06,0,0,0
2020-04-06,3,3,6
2020-04-06,0,0,0
2020-04-06,5,9,14
2020-04-06,6,3,9
2020-04-06,6,18,24
2020-04-06,9,14,23
2020-04-06,16,15,31
2020-04-06,0,0,0
2020-04-06,0,8,8
2020-04-06,0,7,7
2020-04-06,77,78,155
2020-04-06,1,15,16
2020-04-06,80,71,151
2020-04-06,0,0,0
2020-04-06,0,2,2
2020-04-06,0,0,0
2020-04-06,20,2,22
2020-04-06,30,28,58
2020-04-06,148,185,333
2020-04-06,3,12,15
2020-04-06,181,49,230
2020-04-06,20,12,32
2020-04-06,0,2,2
2020-04-06,0,0,0
2020-04-06,0,0,0
2020-04-06,16,1,17
2020-04-06,24,36,60
2020-04-06,187,224,411
2020-04-06,0,3,3
2020-04-06,8,8,16
2020-04-06,0,0,0
2020-04-06,145,171,316
2020-04-06,1,5,6
2020-04-07,2,5,7
2020-04-07,74,91,165
2020-04-07,187,47,234
2020-04-07,20,2,22
2020-04-07,9,14,23
2020-04-07,22,68,90
2020-04-07,0,1,1
2020-04-07,0,3,3
2020-04-07,9,121,130
2020-04-07,0,0,0
2020-04-07,0,0,0
2020-04-07,0,1,1
2020-04-07,0,0,0
2020-04-07,3,3,6
2020-04-07,0,5,5
2020-04-07,28,91,119
2020-04-07,8,23,31
2020-04-07,129,207,336
2020-04-07,0,0,0
2020-04-07,63,13,76
2020-04-07,6,28,34
2020-04-07,6,5,11
2020-04-07,1,4,5
2020-04-07,41,8,49
2020-04-07,16,2,18
2020-04-07,203,124,327
2020-04-07,143,144,287
2020-04-07,0,3,3
2020-04-07,0,0,0
2020-04-07,0,1,1
2020-04-07,19,18,37
2020-04-07,76,84,160
2020-04-07,5,8,13
2020-04-07,18,25,43
2020-04-07,0,1,1
2020-04-07,0,2,2
2020-04-07,0,0,0
2020-04-07,20,82,102
2020-04-07,146,178,324
2020-04-07,0,3,3
2020-04-07,2,3,5
2020-04-07,3,3,6
2020-04-07,0,1,1
2020-04-07,4,4,8
2020-04-07,1,14,15
2020-04-07,2,7,9
2020-04-07,88,116,204
2020-04-07,3,4,7
2020-04-07,31,38,69
2020-04-07,0,1,1
2020-04-07,31,33,64
2020-04-07,14,24,38
2020-04-07,0,0,0
2020-04-07,1251,1350,2601
2020-04-07,2,25,27
2020-04-07,28,40,68
2020-04-08,2,0,2
2020-04-08,225,103,328
2020-04-08,4,9,13
2020-04-08,0,2,2
2020-04-08,1,1,2
2020-04-08,1331,1077,2408
2020-04-08,156,34,190
2020-04-08,16,7,23
2020-04-08,2,7,9
2020-04-08,0,0,0
2020-04-08,6,22,28
2020-04-08,5,3,8
2020-04-08,32,19,51
2020-04-08,0,0,0
2020-04-08,0,0,0
2020-04-08,76,81,157
2020-04-08,0,0,0
2020-04-08,2,7,9
2020-04-08,0,6,6
2020-04-08,18,24,42
2020-04-08,30,35,65
2020-04-08,35,50,85
2020-04-08,0,2,2
2020-04-08,42,18,60
2020-04-08,66,20,86
2020-04-08,2,13,15
2020-04-08,0,0,0
2020-04-08,2,8,10
2020-04-08,22,63,85
2020-04-08,18,73,91
2020-04-08,84,69,153
2020-04-08,18,15,33
2020-04-08,4,5,9
2020-04-08,9,128,137
2020-04-08,0,0,0
2020-04-08,2,24,26
2020-04-08,0,0,0
2020-04-08,0,7,7
2020-04-08,153,181,334
2020-04-08,0,1,1
2020-04-08,132,301,433
2020-04-08,1,15,16
2020-04-08,16,3,19
2020-04-08,149,145,294
2020-04-08,0,0,0
2020-04-08,2,3,5
2020-04-08,31,57,88
2020-04-08,19,8,27
2020-04-08,0,2,2
2020-04-08,0,1,1
2020-04-08,0,0,0
2020-04-08,15,19,34
2020-04-08,7,16,23
2020-04-08,90,116,206
2020-04-08,0,3,3
2020-04-08,0,0,0
2020-04-09,17,26,43
2020-04-09,2,4,6
2020-04-09,2,6,8
2020-04-09,14,9,23
2020-04-09,1368,758,2126
2020-04-09,0,0,0
2020-04-09,0,0,0
2020-04-09,0,0,0
2020-04-09,27,35,62
2020-04-09,2,4,6
2020-04-09,37,64,101
2020-04-09,0,0,0
2020-04-09,5,21,26
2020-04-09,0,0,0
2020-04-09,2,10,12
2020-04-09,0,7,7
2020-04-09,0,1,1
2020-04-09,1,14,15
2020-04-09,18,15,33
2020-04-09,5,7,12
2020-04-09,0,0,0
2020-04-09,25,41,66
2020-04-09,58,14,72
2020-04-09,146,117,263
2020-04-09,227,124,351
2020-04-09,4,14,18
2020-04-09,201,159,360
2020-04-09,29,18,47
2020-04-09,0,3,3
2020-04-09,2,1,3
2020-04-09,0,0,0
2020-04-09,0,0,0
2020-04-09,28,30,58
2020-04-09,14,10,24
2020-04-09,1,7,8
2020-04-09,18,69,87
2020-04-09,158,65,223
2020-04-09,136,269,405
2020-04-09,3,18,21
2020-04-09,0,2,2
2020-04-09,5,7,12
2020-04-09,0,0,0
2020-04-09,10,11,21
2020-04-09,6,6,12
2020-04-09,74,60,134
2020-04-09,0,2,2
2020-04-09,17,3,20
2020-04-09,18,12,30
2020-04-09,0,0,0
2020-04-09,0,1,1
2020-04-09,40,18,58
2020-04-09,88,64,152
2020-04-09,9,135,144
2020-04-09,80,76,156
2020-04-09,0,0,0
2020-04-09,0,2,2
2020-04-10,18,9,27
2020-04-10,0,0,0
2020-04-10,0,0,0
2020-04-10,0,0,0
2020-04-10,0,0,0
2020-04-10,14,12,26
2020-04-10,26,17,43
2020-04-10,1299,754,2053
2020-04-10,0,3,3
2020-04-10,4,18,22
2020-04-10,2,3,5
2020-04-10,0,1,1
2020-04-10,0,1,1
2020-04-10,139,129,268
2020-04-10,2,10,12
2020-04-10,4,11,15
2020-04-10,151,44,195
2020-04-10,3,2,5
2020-04-10,27,41,68
2020-04-10,42,30,72
2020-04-10,18,21,39
2020-04-10,0,0,0
2020-04-10,0,0,0
2020-04-10,17,1,18
2020-04-10,6,26,32
2020-04-10,3,3,6
2020-04-10,56,12,68
2020-04-10,33,38,71
2020-04-10,2,8,10
2020-04-10,0,7,7
2020-04-10,11,10,21
2020-04-10,93,71,164
2020-04-10,0,3,3
2020-04-10,206,141,347
2020-04-10,0,0,0
2020-04-10,8,0,8
2020-04-10,0,1,1
2020-04-10,2,1,3
2020-04-10,9,135,144
2020-04-10,156,295,451
2020-04-10,19,76,95
2020-04-10,0,2,2
2020-04-10,5,7,12
2020-04-10,0,0,0
2020-04-10,0,0,0
2020-04-10,0,2,2
2020-04-10,1,15,16
2020-04-10,27,17,44
2020-04-10,0,0,0
2020-04-10,0,5,5
2020-04-10,16,11,27
2020-04-10,85,46,131
2020-04-10,0,0,0
2020-04-10,70,45,115
2020-04-10,42,13,55
2020-04-10,230,124,354
2020-04-11,0,2,2
2020-04-11,0,3,3
2020-04-11,0,0,0
2020-04-11,20,19,39
2020-04-11,0,0,0
2020-04-11,0,0,0
2020-04-11,3,19,22
2020-04-11,0,0,0
2020-04-11,0,0,0
2020-04-11,5,3,8
2020-04-11,87,91,178
2020-04-11,153,213,366
2020-04-11,0,1,1
2020-04-11,0,0,0
2020-04-11,67,46,113
2020-04-11,0,0,0
2020-04-11,3,3,6
2020-04-11,0,0,0
2020-04-11,23,19,42
2020-04-11,10,0,10
2020-04-11,12,3,15
2020-04-11,146,61,207
2020-04-11,54,15,69
2020-04-11,14,11,25
2020-04-11,0,2,2
2020-04-11,3,4,7
2020-04-11,0,0,0
2020-04-11,2,4,6
2020-04-11,2,27,29
2020-04-11,0,0,0
2020-04-11,2,2,4
2020-04-11,28,63,91
2020-04-11,2,2,4
2020-04-11,2,5,7
2020-04-11,13,16,29
2020-04-11,1362,905,2267
2020-04-11,10,140,150
2020-04-11,2,10,12
2020-04-11,232,127,359
2020-04-11,0,0,0
2020-04-11,32,52,84
2020-04-11,0,5,5
2020-04-11,18,17,35
2020-04-11,0,4,4
2020-04-11,0,2,2
2020-04-11,40,16,56
2020-04-11,82,51,133
2020-04-11,239,118,357
2020-04-11,0,0,0
2020-04-11,0,1,1
2020-04-11,23,14,37
2020-04-11,17,2,19
2020-04-11,144,109,253
2020-04-11,39,38,77
2020-04-11,22,58,80
2020-04-11,4,14,18
2020-04-12,138,108,246
2020-04-12,2,24,26
2020-04-12,245,142,387
2020-04-12,0,0,0
2020-04-12,0,3,3
2020-04-12,2,0,2
2020-04-12,4,15,19
2020-04-12,3,11,14
2020-04-12,19,15,34
2020-04-12,1,0,1
2020-04-12,0,2,2
2020-04-12,4,4,8
2020-04-12,0,0,0
2020-04-12,0,0,0
2020-04-12,0,0,0
2020-04-12,8,0,8
2020-04-12,0,4,4
2020-04-12,0,0,0
2020-04-12,0,0,0
2020-04-12,10,140,150
2020-04-12,0,0,0
2020-04-12,19,1,20
2020-04-12,0,0,0
2020-04-12,91,101,192
2020-04-12,31,28,59
2020-04-12,0,5,5
2020-04-12,244,108,352
2020-04-12,69,46,115
2020-04-12,23,46,69
2020-04-12,0,0,0
2020-04-12,25,21,46
2020-04-12,0,0,0
2020-04-12,3,1,4
2020-04-12,15,4,19
2020-04-12,0,3,3
2020-04-12,1433,715,2148
2020-04-12,21,65,86
2020-04-12,19,19,38
2020-04-12,157,172,329
2020-04-12,145,51,196
2020-04-12,92,44,136
2020-04-12,2,8,10
2020-04-12,4,3,7
2020-04-12,42,7,49
2020-04-12,46,32,78
2020-04-12,19,13,32
2020-04-12,46,31,77
2020-04-12,0,0,0
2020-04-12,0,0,0
2020-04-12,0,2,2
2020-04-12,2,4,6
2020-04-12,18,13,31
2020-04-12,13,19,32
2020-04-12,0,0,0
2020-04-12,0,0,0
2020-04-12,0,3,3
2020-04-13,247,122,369
2020-04-13,243,107,350
2020-04-13,151,66,217
2020-04-13,22,57,79
2020-04-13,0,0,0
2020-04-13,19,1,20
2020-04-13,3,14,17
2020-04-13,14,3,17
2020-04-13,10,150,160
2020-04-13,42,7,49
2020-04-13,0,1,1
2020-04-13,44,44,88
2020-04-13,0,1,1
2020-04-13,22,19,41
2020-04-13,39,32,71
2020-04-13,0,0,0
2020-04-13,85,81,166
2020-04-13,18,9,27
2020-04-13,73,36,109
2020-04-13,0,2,2
2020-04-13,13,13,26
2020-04-13,149,81,230
2020-04-13,2,5,7
2020-04-13,0,4,4
2020-04-13,1,1,2
2020-04-13,0,0,0
2020-04-13,1501,793,2294
2020-04-13,0,0,0
2020-04-13,21,56,77
2020-04-13,0,4,4
2020-04-13,0,2,2
2020-04-13,2,8,10
2020-04-13,89,48,137
2020-04-13,0,3,3
2020-04-13,19,8,27
2020-04-13,57,19,76
2020-04-13,1,8,9
2020-04-13,2,2,4
2020-04-13,2,20,22
2020-04-13,167,155,322
2020-04-13,1,2,3
2020-04-13,0,0,0
2020-04-13,7,1,8
2020-04-13,0,1,1
2020-04-13,26,16,42
2020-04-13,0,0,0
2020-04-13,0,0,0
2020-04-13,4,0,4
2020-04-13,3,0,3
2020-04-13,0,1,1
2020-04-13,4,8,12
2020-04-13,0,4,4
2020-04-13,21,22,43
2020-04-13,0,1,1
2020-04-13,0,1,1
2020-04-13,0,0,0
2020-04-14,70,46,116
2020-04-14,24,45,69
2020-04-14,1,4,5
2020-04-14,10,156,166
2020-04-14,19,14,33
2020-04-14,1,1,2
2020-04-14,0,1,1
2020-04-14,37,51,88
2020-04-14,0,0,0
2020-04-14,0,4,4
2020-04-14,0,6,6
2020-04-14,3,0,3
2020-04-14,4,4,8
2020-04-14,0,3,3
2020-04-14,22,10,32
2020-04-14,0,0,0
2020-04-14,2,23,25
2020-04-14,35,23,58
2020-04-14,0,0,0
2020-04-14,3,4,7
2020-04-14,144,47,191
2020-04-14,0,0,0
2020-04-14,0,5,5
2020-04-14,0,1,1
2020-04-14,3,15,18
2020-04-14,8,0,8
2020-04-14,3,9,12
2020-04-14,17,15,32
2020-04-14,0,0,0
2020-04-14,24,35,59
2020-04-14,1,1,2
2020-04-14,0,0,0
2020-04-14,166,149,315
2020-04-14,2,7,9
2020-04-14,0,4,4
2020-04-14,18,25,43
2020-04-14,0,0,0
2020-04-14,15,5,20
2020-04-14,1,6,7
2020-04-14,0,1,1
2020-04-14,55,12,67
2020-04-14,0,3,3
2020-04-14,18,13,31
2020-04-14,0,0,0
2020-04-14,235,117,352
2020-04-14,147,111,258
2020-04-14,1587,613,2200
2020-04-14,42,8,50
2020-04-14,12,25,37
2020-04-14,243,109,352
2020-04-14,92,106,198
2020-04-14,0,0,0
2020-04-14,20,3,23
2020-04-14,0,1,1
2020-04-14,87,53,140
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-15,1624,632,2256
2020-04-15,8,0,8
2020-04-15,236,112,348
2020-04-15,53,18,71
2020-04-15,0,0,0
2020-04-15,38,41,79
2020-04-15,0,4,4
2020-04-15,0,0,0
2020-04-15,21,21,42
2020-04-15,0,0,0
2020-04-15,149,109,258
2020-04-15,25,33,58
2020-04-15,0,0,0
2020-04-15,207,155,362
2020-04-15,4,10,14
2020-04-15,2,0,2
2020-04-15,13,11,24
2020-04-15,9,14,23
2020-04-15,19,17,36
2020-04-15,0,5,5
2020-04-15,1,1,2
2020-04-15,0,0,0
2020-04-15,3,3,6
2020-04-15,2,5,7
2020-04-15,0,0,0
2020-04-15,0,0,0
2020-04-15,0,0,0
2020-04-15,66,60,126
2020-04-15,40,12,52
2020-04-15,4,2,6
2020-04-15,15,163,178
2020-04-15,87,84,171
2020-04-15,20,11,31
