county,date,labor_force,employment,unemployment,unemployment_rate
Alameda,2021-01-01,802100,743800,58300,0.073
Alpine,2021-01-01,620,580,40,0.069
Amador,2021-01-01,14330,13140,1190,0.083
Butte,2021-01-01,89100,81700,7400,0.083
Calaveras,2021-01-01,21140,19670,1460,0.069
Colusa,2021-01-01,10210,8620,1600,0.156
Contra Costa,2021-01-01,534600,494300,40200,0.075
Del Norte,2021-01-01,9290,8460,830,0.09
El Dorado,2021-01-01,91100,84800,6300,0.069
Fresno,2021-01-01,444700,400300,44400,0.1
Glenn,2021-01-01,12180,11210,960,0.079
Humboldt,2021-01-01,58700,54400,4300,0.073
Imperial,2021-01-01,65000,54300,10800,0.165
Inyo,2021-01-01,8260,7690,570,0.069
Kern,2021-01-01,381200,340200,41000,0.10800000000000001
Kings,2021-01-01,55800,49800,6000,0.107
Lake,2021-01-01,28600,26070,2530,0.08800000000000001
Lassen,2021-01-01,9440,8790,650,0.069
Los Angeles,2021-01-01,4916600,4290200,626400,0.127
Madera,2021-01-01,62800,56800,6000,0.096
Marin,2021-01-01,129000,122000,7000,0.054000000000000006
Mariposa,2021-01-01,6760,5940,820,0.121
Mendocino,2021-01-01,36140,33380,2770,0.077
Merced,2021-01-01,113900,100800,13000,0.114
Modoc,2021-01-01,3120,2830,300,0.095
Mono,2021-01-01,8570,7800,760,0.08900000000000001
Monterey,2021-01-01,202800,180000,22700,0.11199999999999999
Napa,2021-01-01,67500,61700,5800,0.086
Nevada,2021-01-01,46780,43640,3150,0.067
Orange,2021-01-01,1516800,1404800,112000,0.07400000000000001
Placer,2021-01-01,185600,174500,11100,0.06
Plumas,2021-01-01,7080,6240,840,0.11900000000000001
Riverside,2021-01-01,1105400,1010200,95200,0.086
Sacramento,2021-01-01,711200,653300,57900,0.081
San Benito,2021-01-01,30700,28000,2700,0.08900000000000001
San Bernardino,2021-01-01,969400,885600,83800,0.086
San Diego,2021-01-01,1517300,1395000,122300,0.081
San Francisco,2021-01-01,535400,501900,33500,0.063
San Joaquin,2021-01-01,330100,297200,33000,0.1
San Luis Obispo,2021-01-01,131100,122300,8800,0.067
San Mateo,2021-01-01,420000,396000,24000,0.057
Santa Barbara,2021-01-01,210600,194300,16200,0.077
Santa Clara,2021-01-01,1004700,947300,57400,0.057
Santa Cruz,2021-01-01,128500,117500,11000,0.086
Shasta,2021-01-01,73900,68100,5800,0.079
Sierra,2021-01-01,1260,1160,90,0.07400000000000001
Siskiyou,2021-01-01,16450,14850,1600,0.09699999999999999
Solano,2021-01-01,201200,183900,17400,0.086
Sonoma,2021-01-01,234000,217300,16700,0.071
Stanislaus,2021-01-01,238600,216300,22300,0.09300000000000001
Sutter,2021-01-01,43300,38900,4400,0.102
Tehama,2021-01-01,25210,23190,2030,0.08
Trinity,2021-01-01,4400,4060,340,0.077
Tulare,2021-01-01,194700,172700,22100,0.113
Tuolumne,2021-01-01,19750,17960,1790,0.091
Ventura,2021-01-01,401900,372000,29900,0.07400000000000001
Yolo,2021-01-01,105500,98200,7300,0.07
Yuba,2021-01-01,29200,26200,2900,0.10099999999999999
Alameda,2020-12-01,806800,746400,60400,0.075
Alpine,2020-12-01,600,550,50,0.077
Amador,2020-12-01,14230,13080,1150,0.081
Butte,2020-12-01,89700,82400,7300,0.081
Calaveras,2020-12-01,21200,19760,1440,0.068
Colusa,2020-12-01,10280,8840,1440,0.14
Contra Costa,2020-12-01,537200,495800,41400,0.077
Del Norte,2020-12-01,9180,8360,820,0.09
El Dorado,2020-12-01,90500,84300,6100,0.068
Fresno,2020-12-01,445200,400900,44400,0.1
Glenn,2020-12-01,12230,11300,930,0.076
Humboldt,2020-12-01,58900,54500,4400,0.07400000000000001
Imperial,2020-12-01,65500,54000,11500,0.175
Inyo,2020-12-01,8180,7630,550,0.067
Kern,2020-12-01,379400,338500,40900,0.10800000000000001
Kings,2020-12-01,55500,49600,5900,0.106
Lake,2020-12-01,28060,25590,2470,0.08800000000000001
Lassen,2020-12-01,9310,8680,630,0.067
Los Angeles,2020-12-01,4868000,4270600,597400,0.12300000000000001
Madera,2020-12-01,62100,56200,5800,0.094
Marin,2020-12-01,128200,121100,7100,0.055999999999999994
Mariposa,2020-12-01,6560,5850,710,0.10800000000000001
Mendocino,2020-12-01,36220,33410,2810,0.077
Merced,2020-12-01,113700,101100,12500,0.11
Modoc,2020-12-01,3110,2850,260,0.083
Mono,2020-12-01,7870,7150,710,0.091
Monterey,2020-12-01,202000,181300,20700,0.10300000000000001
Napa,2020-12-01,66100,61100,5000,0.075
Nevada,2020-12-01,46600,43490,3110,0.067
Orange,2020-12-01,1542500,1427800,114700,0.07400000000000001
Placer,2020-12-01,184700,173600,11100,0.06
Plumas,2020-12-01,7160,6410,750,0.10400000000000001
Riverside,2020-12-01,1116200,1019600,96600,0.087
Sacramento,2020-12-01,708900,650100,58800,0.083
San Benito,2020-12-01,30700,28100,2600,0.085
San Bernardino,2020-12-01,981200,894700,86600,0.08800000000000001
San Diego,2020-12-01,1535100,1412500,122700,0.08
San Francisco,2020-12-01,541600,506700,34900,0.064
San Joaquin,2020-12-01,332700,299400,33400,0.1
San Luis Obispo,2020-12-01,128500,120000,8600,0.067
San Mateo,2020-12-01,424400,399700,24700,0.057999999999999996
Santa Barbara,2020-12-01,213100,197600,15500,0.073
Santa Clara,2020-12-01,1010500,950900,59600,0.059000000000000004
Santa Cruz,2020-12-01,128500,118000,10400,0.081
Shasta,2020-12-01,72600,67000,5700,0.078
Sierra,2020-12-01,1270,1180,90,0.07
Siskiyou,2020-12-01,16470,14910,1570,0.095
Solano,2020-12-01,202800,185300,17500,0.086
Sonoma,2020-12-01,236300,220700,15600,0.066
Stanislaus,2020-12-01,239500,217000,22500,0.094
Sutter,2020-12-01,43800,39500,4400,0.099
Tehama,2020-12-01,25180,23160,2020,0.08
Trinity,2020-12-01,4460,4120,340,0.076
Tulare,2020-12-01,191300,169300,21900,0.115
Tuolumne,2020-12-01,19860,18070,1800,0.09
Ventura,2020-12-01,404500,374600,29900,0.07400000000000001
Yolo,2020-12-01,105000,97800,7200,0.068
Yuba,2020-12-01,29500,26600,2900,0.098
Alameda,2020-11-01,801300,746600,54700,0.068
Alpine,2020-11-01,490,460,40,0.075
Amador,2020-11-01,14180,13200,990,0.069
Butte,2020-11-01,90300,84100,6200,0.069
Calaveras,2020-11-01,20940,19770,1180,0.055999999999999994
Colusa,2020-11-01,10200,9170,1030,0.10099999999999999
Contra Costa,2020-11-01,532900,496100,36800,0.069
Del Norte,2020-11-01,9120,8430,690,0.076
El Dorado,2020-11-01,89900,84800,5100,0.057
Fresno,2020-11-01,439400,402200,37300,0.085
Glenn,2020-11-01,12170,11420,750,0.062
Humboldt,2020-11-01,58700,55100,3600,0.062
Imperial,2020-11-01,64800,54200,10600,0.16399999999999998
Inyo,2020-11-01,8180,7710,470,0.057999999999999996
Kern,2020-11-01,379600,345200,34400,0.09
Kings,2020-11-01,54300,49500,4800,0.08800000000000001
Lake,2020-11-01,27810,25760,2050,0.07400000000000001
Lassen,2020-11-01,9870,9380,490,0.05
Los Angeles,2020-11-01,4931400,4342400,589000,0.11900000000000001
Madera,2020-11-01,60400,55600,4800,0.079
Marin,2020-11-01,128800,122500,6300,0.049
Mariposa,2020-11-01,6610,6060,550,0.084
Mendocino,2020-11-01,35950,33530,2420,0.067
Merced,2020-11-01,113000,103000,10000,0.08900000000000001
Modoc,2020-11-01,3160,2970,190,0.059000000000000004
Mono,2020-11-01,7220,6630,590,0.081
Monterey,2020-11-01,205800,191500,14300,0.07
Napa,2020-11-01,66100,61800,4300,0.064
Nevada,2020-11-01,45650,43040,2610,0.057
Orange,2020-11-01,1535600,1434800,100800,0.066
Placer,2020-11-01,184100,174500,9600,0.052000000000000005
Plumas,2020-11-01,7160,6630,530,0.07400000000000001
Riverside,2020-11-01,1106600,1021500,85100,0.077
Sacramento,2020-11-01,705200,653600,51600,0.073
San Benito,2020-11-01,30700,28600,2100,0.069
San Bernardino,2020-11-01,972600,896200,76400,0.079
San Diego,2020-11-01,1524000,1419700,104300,0.068
San Francisco,2020-11-01,541000,509000,32000,0.059000000000000004
San Joaquin,2020-11-01,330700,302000,28700,0.087
San Luis Obispo,2020-11-01,131200,124100,7100,0.054000000000000006
San Mateo,2020-11-01,424000,401600,22400,0.053
Santa Barbara,2020-11-01,215800,203500,12300,0.057
Santa Clara,2020-11-01,1009900,957200,52700,0.052000000000000005
Santa Cruz,2020-11-01,129300,120800,8600,0.066
Shasta,2020-11-01,72400,67700,4700,0.065
Sierra,2020-11-01,1290,1220,70,0.051
Siskiyou,2020-11-01,16810,15670,1150,0.068
Solano,2020-11-01,201200,186000,15200,0.075
Sonoma,2020-11-01,239000,225300,13700,0.057
Stanislaus,2020-11-01,237900,218700,19200,0.081
Sutter,2020-11-01,43700,40200,3500,0.08
Tehama,2020-11-01,25360,23700,1660,0.066
Trinity,2020-11-01,4470,4210,250,0.057
Tulare,2020-11-01,192100,173600,18500,0.096
Tuolumne,2020-11-01,19620,18180,1440,0.07400000000000001
Ventura,2020-11-01,403600,377900,25700,0.064
Yolo,2020-11-01,104500,98400,6000,0.057999999999999996
Yuba,2020-11-01,29400,27000,2400,0.083
Alameda,2020-10-01,812800,744300,68500,0.084
Alpine,2020-10-01,460,410,50,0.10300000000000001
Amador,2020-10-01,14540,13380,1160,0.08
Butte,2020-10-01,92200,84800,7300,0.08
Calaveras,2020-10-01,21370,19950,1420,0.066
Colusa,2020-10-01,10610,9630,970,0.092
Contra Costa,2020-10-01,540500,494900,45600,0.084
Del Norte,2020-10-01,9400,8620,780,0.083
El Dorado,2020-10-01,91100,85000,6100,0.067
Fresno,2020-10-01,444000,401000,43100,0.09699999999999999
Glenn,2020-10-01,12640,11780,860,0.068
Humboldt,2020-10-01,59600,55200,4300,0.073
Imperial,2020-10-01,67100,53700,13400,0.2
Inyo,2020-10-01,8290,7720,570,0.068
Kern,2020-10-01,388700,347500,41200,0.106
Kings,2020-10-01,55500,50100,5400,0.098
Lake,2020-10-01,28590,26220,2370,0.083
Lassen,2020-10-01,10040,9500,550,0.054000000000000006
Los Angeles,2020-10-01,4945600,4354200,591400,0.12
Madera,2020-10-01,61000,55600,5400,0.08900000000000001
Marin,2020-10-01,131000,123200,7800,0.06
Mariposa,2020-10-01,6990,6370,610,0.08800000000000001
Mendocino,2020-10-01,37000,34110,2880,0.078
Merced,2020-10-01,115800,104600,11200,0.09699999999999999
Modoc,2020-10-01,3320,3120,200,0.059000000000000004
Mono,2020-10-01,7420,6670,750,0.102
Monterey,2020-10-01,213600,197700,15900,0.07400000000000001
Napa,2020-10-01,68900,63800,5100,0.07400000000000001
Nevada,2020-10-01,46610,43450,3160,0.068
Orange,2020-10-01,1554900,1427400,127500,0.08199999999999999
Placer,2020-10-01,186300,174600,11700,0.063
Plumas,2020-10-01,7630,7050,570,0.075
Riverside,2020-10-01,1121000,1016400,104600,0.09300000000000001
Sacramento,2020-10-01,716900,653800,63100,0.08800000000000001
San Benito,2020-10-01,31200,28700,2500,0.079
San Bernardino,2020-10-01,984400,891500,92900,0.094
San Diego,2020-10-01,1541800,1412100,129600,0.084
San Francisco,2020-10-01,550300,508700,41600,0.076
San Joaquin,2020-10-01,335500,301500,34100,0.102
San Luis Obispo,2020-10-01,133300,124700,8600,0.064
San Mateo,2020-10-01,429600,401400,28200,0.066
Santa Barbara,2020-10-01,219300,204800,14500,0.066
Santa Clara,2020-10-01,1019000,953500,65500,0.064
Santa Cruz,2020-10-01,133100,123200,9900,0.07400000000000001
Shasta,2020-10-01,74200,68700,5400,0.073
Sierra,2020-10-01,1330,1260,80,0.055999999999999994
Siskiyou,2020-10-01,17320,16060,1260,0.073
Solano,2020-10-01,204600,186200,18400,0.09
Sonoma,2020-10-01,244300,227500,16800,0.069
Stanislaus,2020-10-01,242100,219400,22700,0.094
Sutter,2020-10-01,45400,41500,3900,0.086
Tehama,2020-10-01,26140,24230,1910,0.073
Trinity,2020-10-01,4590,4310,290,0.062
Tulare,2020-10-01,195100,173300,21700,0.111
Tuolumne,2020-10-01,19960,18220,1730,0.087
Ventura,2020-10-01,407700,376500,31200,0.076
Yolo,2020-10-01,106000,99100,6900,0.065
Yuba,2020-10-01,30100,27300,2800,0.09300000000000001
Alameda,2020-09-01,799200,721800,77400,0.09699999999999999
Alpine,2020-09-01,460,410,50,0.11
Amador,2020-09-01,14280,13010,1270,0.08900000000000001
Butte,2020-09-01,90500,82300,8200,0.09
Calaveras,2020-09-01,21160,19610,1550,0.073
Colusa,2020-09-01,10320,9290,1030,0.1
Contra Costa,2020-09-01,531200,480000,51300,0.096
Del Norte,2020-09-01,9320,8500,830,0.08900000000000001
El Dorado,2020-09-01,89000,82200,6800,0.077
Fresno,2020-09-01,438800,392500,46300,0.105
Glenn,2020-09-01,12370,11440,930,0.076
Humboldt,2020-09-01,58700,53900,4700,0.081
Imperial,2020-09-01,67300,52400,14900,0.222
Inyo,2020-09-01,8160,7550,620,0.075
Kern,2020-09-01,382800,337300,45500,0.11900000000000001
Kings,2020-09-01,54800,49100,5700,0.10400000000000001
Lake,2020-09-01,28410,25890,2520,0.08900000000000001
Lassen,2020-09-01,9370,8780,590,0.063
Los Angeles,2020-09-01,4804900,4173100,631900,0.132
Madera,2020-09-01,60800,54900,5900,0.096
Marin,2020-09-01,127500,118500,9000,0.07
Mariposa,2020-09-01,7070,6400,670,0.095
Mendocino,2020-09-01,36800,33620,3180,0.086
Merced,2020-09-01,114300,102200,12100,0.106
Modoc,2020-09-01,3210,3010,200,0.061
Mono,2020-09-01,7730,6960,770,0.1
Monterey,2020-09-01,213300,196000,17300,0.081
Napa,2020-09-01,67900,62300,5600,0.083
Nevada,2020-09-01,45830,42290,3540,0.077
Orange,2020-09-01,1521600,1375500,146100,0.096
Placer,2020-09-01,182100,168900,13200,0.07200000000000001
Plumas,2020-09-01,7710,7110,600,0.078
Riverside,2020-09-01,1096200,979500,116600,0.106
Sacramento,2020-09-01,702800,632400,70400,0.1
San Benito,2020-09-01,30500,27800,2700,0.08900000000000001
San Bernardino,2020-09-01,959900,859400,100500,0.105
San Diego,2020-09-01,1512100,1366900,145200,0.096
San Francisco,2020-09-01,541700,493200,48500,0.09
San Joaquin,2020-09-01,331000,293600,37400,0.113
San Luis Obispo,2020-09-01,130700,120800,9800,0.075
San Mateo,2020-09-01,421200,389100,32100,0.076
Santa Barbara,2020-09-01,215700,199500,16100,0.075
Santa Clara,2020-09-01,1000200,926100,74100,0.07400000000000001
Santa Cruz,2020-09-01,131100,120300,10900,0.083
Shasta,2020-09-01,72800,67000,5800,0.08
Sierra,2020-09-01,1310,1220,90,0.065
Siskiyou,2020-09-01,16960,15600,1360,0.08
Solano,2020-09-01,199300,179100,20200,0.10099999999999999
Sonoma,2020-09-01,241900,223000,18900,0.078
Stanislaus,2020-09-01,239800,215100,24700,0.10300000000000001
Sutter,2020-09-01,44900,40700,4200,0.094
Tehama,2020-09-01,25560,23490,2070,0.081
Trinity,2020-09-01,4640,4340,300,0.065
Tulare,2020-09-01,194100,170700,23400,0.121
Tuolumne,2020-09-01,19850,17940,1910,0.096
Ventura,2020-09-01,399900,364700,35100,0.08800000000000001
Yolo,2020-09-01,103500,96000,7500,0.073
Yuba,2020-09-01,29800,26700,3000,0.10099999999999999
Alameda,2020-08-01,803800,718900,84900,0.106
Alpine,2020-08-01,460,400,50,0.11599999999999999
Amador,2020-08-01,14380,12960,1410,0.098
Butte,2020-08-01,91300,82400,8900,0.098
Calaveras,2020-08-01,21340,19670,1670,0.078
Colusa,2020-08-01,10460,9340,1120,0.107
Contra Costa,2020-08-01,534100,477900,56200,0.105
Del Norte,2020-08-01,9420,8490,930,0.098
El Dorado,2020-08-01,89000,81500,7500,0.085
Fresno,2020-08-01,439500,389000,50500,0.115
Glenn,2020-08-01,12280,11220,1060,0.086
Humboldt,2020-08-01,58000,52500,5400,0.094
Imperial,2020-08-01,68200,51300,16900,0.248
Inyo,2020-08-01,8220,7570,660,0.08
Kern,2020-08-01,385600,335500,50200,0.13
Kings,2020-08-01,55500,49400,6100,0.11
Lake,2020-08-01,28320,25630,2690,0.095
Lassen,2020-08-01,9330,8690,640,0.068
Los Angeles,2020-08-01,4938500,4076400,862100,0.175
Madera,2020-08-01,61700,55300,6500,0.105
Marin,2020-08-01,128100,118100,10000,0.078
Mariposa,2020-08-01,7230,6510,720,0.1
Mendocino,2020-08-01,36870,33370,3500,0.095
Merced,2020-08-01,112500,99200,13300,0.11900000000000001
Modoc,2020-08-01,3190,2980,210,0.067
Mono,2020-08-01,7920,7040,870,0.11
Monterey,2020-08-01,217000,197900,19100,0.08800000000000001
Napa,2020-08-01,68400,62000,6400,0.09300000000000001
Nevada,2020-08-01,46230,42260,3970,0.086
Orange,2020-08-01,1526200,1362200,164000,0.107
Placer,2020-08-01,182500,167600,14900,0.08199999999999999
Plumas,2020-08-01,7950,7270,680,0.085
Riverside,2020-08-01,1098700,970800,127900,0.11599999999999999
Sacramento,2020-08-01,704300,627600,76700,0.109
San Benito,2020-08-01,30900,27900,3000,0.096
San Bernardino,2020-08-01,960700,851900,108800,0.113
San Diego,2020-08-01,1518700,1353900,164700,0.10800000000000001
San Francisco,2020-08-01,546600,493700,52900,0.09699999999999999
San Joaquin,2020-08-01,331300,290900,40400,0.122
San Luis Obispo,2020-08-01,129400,118300,11100,0.086
San Mateo,2020-08-01,424600,389400,35200,0.083
Santa Barbara,2020-08-01,216300,198400,17900,0.083
Santa Clara,2020-08-01,1009000,927000,82000,0.081
Santa Cruz,2020-08-01,132200,120000,12100,0.092
Shasta,2020-08-01,72500,66200,6300,0.087
Sierra,2020-08-01,1280,1180,100,0.077
Siskiyou,2020-08-01,16940,15410,1540,0.091
Solano,2020-08-01,200400,178500,22000,0.11
Sonoma,2020-08-01,243400,222300,21100,0.087
Stanislaus,2020-08-01,241700,214700,27000,0.11199999999999999
Sutter,2020-08-01,45600,41000,4600,0.10099999999999999
Tehama,2020-08-01,25660,23390,2280,0.08900000000000001
Trinity,2020-08-01,4710,4390,330,0.069
Tulare,2020-08-01,196800,171000,25800,0.131
Tuolumne,2020-08-01,20080,17930,2150,0.107
Ventura,2020-08-01,401500,362100,39300,0.098
Yolo,2020-08-01,103900,95700,8300,0.079
Yuba,2020-08-01,29900,26700,3200,0.10800000000000001
Alameda,2020-07-01,811500,714400,97100,0.12
Alpine,2020-07-01,460,390,70,0.145
Amador,2020-07-01,14410,12740,1670,0.11599999999999999
Butte,2020-07-01,90400,80300,10100,0.111
Calaveras,2020-07-01,21410,19460,1950,0.091
Colusa,2020-07-01,10340,8950,1390,0.135
Contra Costa,2020-07-01,539200,474900,64400,0.11900000000000001
Del Norte,2020-07-01,9200,8180,1020,0.111
El Dorado,2020-07-01,90200,81200,8900,0.099
Fresno,2020-07-01,441000,383700,57300,0.13
Glenn,2020-07-01,12210,10970,1240,0.10099999999999999
Humboldt,2020-07-01,58200,52000,6200,0.106
Imperial,2020-07-01,68600,49800,18900,0.275
Inyo,2020-07-01,8350,7580,780,0.09300000000000001
Kern,2020-07-01,379700,322000,57700,0.152
Kings,2020-07-01,56400,49400,7000,0.124
Lake,2020-07-01,27780,24730,3050,0.11
Lassen,2020-07-01,9300,8560,740,0.08
Los Angeles,2020-07-01,4934900,4035000,899900,0.182
Madera,2020-07-01,60700,53100,7500,0.124
Marin,2020-07-01,129200,117400,11700,0.091
Mariposa,2020-07-01,7360,6520,830,0.113
Mendocino,2020-07-01,36750,32750,4000,0.109
Merced,2020-07-01,110800,95400,15400,0.139
Modoc,2020-07-01,3210,2960,250,0.078
Mono,2020-07-01,8080,6970,1110,0.13699999999999998
Monterey,2020-07-01,219300,196500,22800,0.10400000000000001
Napa,2020-07-01,69600,62200,7400,0.107
Nevada,2020-07-01,46270,41620,4640,0.1
Orange,2020-07-01,1544300,1354100,190300,0.12300000000000001
Placer,2020-07-01,184400,167100,17300,0.094
Plumas,2020-07-01,7870,7090,790,0.1
