,county,date,labor_force,employment,unemployment,unemployment_rate
0,Alameda ,2021-01-01,802100,743800,58300,0.073
1,Alpine ,2021-01-01,620,580,40,0.069
2,Amador ,2021-01-01,14330,13140,1190,0.083
3,Butte ,2021-01-01,89100,81700,7400,0.083
4,Calaveras ,2021-01-01,21140,19670,1460,0.069
5,Colusa ,2021-01-01,10210,8620,1600,0.156
6,Contra Costa ,2021-01-01,534600,494300,40200,0.075
7,Del Norte ,2021-01-01,9290,8460,830,0.09
8,El Dorado ,2021-01-01,91100,84800,6300,0.069
9,Fresno ,2021-01-01,444700,400300,44400,0.1
10,Glenn ,2021-01-01,12180,11210,960,0.079
11,Humboldt ,2021-01-01,58700,54400,4300,0.073
12,Imperial ,2021-01-01,65000,54300,10800,0.165
13,Inyo ,2021-01-01,8260,7690,570,0.069
14,Kern ,2021-01-01,381200,340200,41000,0.10800000000000001
15,Kings ,2021-01-01,55800,49800,6000,0.107
16,Lake ,2021-01-01,28600,26070,2530,0.08800000000000001
17,Lassen ,2021-01-01,9440,8790,650,0.069
18,Los Angeles ,2021-01-01,4916600,4290200,626400,0.127
20,Madera ,2021-01-01,62800,56800,6000,0.096
21,Marin ,2021-01-01,129000,122000,7000,0.054000000000000006
22,Mariposa ,2021-01-01,6760,5940,820,0.121
23,Mendocino ,2021-01-01,36140,33380,2770,0.077
24,Merced ,2021-01-01,113900,100800,13000,0.114
25,Modoc ,2021-01-01,3120,2830,300,0.095
26,Mono ,2021-01-01,8570,7800,760,0.08900000000000001
27,Monterey ,2021-01-01,202800,180000,22700,0.11199999999999999
28,Napa ,2021-01-01,67500,61700,5800,0.086
29,Nevada ,2021-01-01,46780,43640,3150,0.067
30,Orange ,2021-01-01,1516800,1404800,112000,0.07400000000000001
31,Placer ,2021-01-01,185600,174500,11100,0.06
32,Plumas ,2021-01-01,7080,6240,840,0.11900000000000001
33,Riverside ,2021-01-01,1105400,1010200,95200,0.086
34,Sacramento ,2021-01-01,711200,653300,57900,0.081
35,San Benito ,2021-01-01,30700,28000,2700,0.08900000000000001
36,San Bernardino ,2021-01-01,969400,885600,83800,0.086
37,San Diego ,2021-01-01,1517300,1395000,122300,0.081
38,San Francisco ,2021-01-01,535400,501900,33500,0.063
39,San Joaquin ,2021-01-01,330100,297200,33000,0.1
40,San Luis Obispo ,2021-01-01,131100,122300,8800,0.067
41,San Mateo ,2021-01-01,420000,396000,24000,0.057
42,Santa Barbara ,2021-01-01,210600,194300,16200,0.077
43,Santa Clara ,2021-01-01,1004700,947300,57400,0.057
44,Santa Cruz ,2021-01-01,128500,117500,11000,0.086
45,Shasta ,2021-01-01,73900,68100,5800,0.079
46,Sierra ,2021-01-01,1260,1160,90,0.07400000000000001
47,Siskiyou ,2021-01-01,16450,14850,1600,0.09699999999999999
48,Solano ,2021-01-01,201200,183900,17400,0.086
49,Sonoma ,2021-01-01,234000,217300,16700,0.071
50,Stanislaus ,2021-01-01,238600,216300,22300,0.09300000000000001
51,Sutter ,2021-01-01,43300,38900,4400,0.102
52,Tehama ,2021-01-01,25210,23190,2030,0.08
53,Trinity ,2021-01-01,4400,4060,340,0.077
54,Tulare ,2021-01-01,194700,172700,22100,0.113
55,Tuolumne ,2021-01-01,19750,17960,1790,0.091
56,Ventura ,2021-01-01,401900,372000,29900,0.07400000000000001
57,Yolo ,2021-01-01,105500,98200,7300,0.07
58,Yuba ,2021-01-01,29200,26200,2900,0.10099999999999999
1023,Alameda ,2020-12-01,806800,746400,60400,0.075
1024,Alpine ,2020-12-01,600,550,50,0.077
1025,Amador ,2020-12-01,14230,13080,1150,0.081
1026,Butte ,2020-12-01,89700,82400,7300,0.081
1027,Calaveras ,2020-12-01,21200,19760,1440,0.068
1028,Colusa ,2020-12-01,10280,8840,1440,0.14
1029,Contra Costa ,2020-12-01,537200,495800,41400,0.077
1030,Del Norte ,2020-12-01,9180,8360,820,0.09
1031,El Dorado ,2020-12-01,90500,84300,6100,0.068
1032,Fresno ,2020-12-01,445200,400900,44400,0.1
1033,Glenn ,2020-12-01,12230,11300,930,0.076
1034,Humboldt ,2020-12-01,58900,54500,4400,0.07400000000000001
1035,Imperial ,2020-12-01,65500,54000,11500,0.175
1036,Inyo ,2020-12-01,8180,7630,550,0.067
1037,Kern ,2020-12-01,379400,338500,40900,0.10800000000000001
1038,Kings ,2020-12-01,55500,49600,5900,0.106
1039,Lake ,2020-12-01,28060,25590,2470,0.08800000000000001
1040,Lassen ,2020-12-01,9310,8680,630,0.067
1042,Los Angeles ,2020-12-01,4868000,4270600,597400,0.12300000000000001
1043,Madera ,2020-12-01,62100,56200,5800,0.094
1044,Marin ,2020-12-01,128200,121100,7100,0.055999999999999994
1045,Mariposa ,2020-12-01,6560,5850,710,0.10800000000000001
1046,Mendocino ,2020-12-01,36220,33410,2810,0.077
1047,Merced ,2020-12-01,113700,101100,12500,0.11
1048,Modoc ,2020-12-01,3110,2850,260,0.083
1049,Mono ,2020-12-01,7870,7150,710,0.091
1050,Monterey ,2020-12-01,202000,181300,20700,0.10300000000000001
1051,Napa ,2020-12-01,66100,61100,5000,0.075
1052,Nevada ,2020-12-01,46600,43490,3110,0.067
1053,Orange ,2020-12-01,1542500,1427800,114700,0.07400000000000001
1054,Placer ,2020-12-01,184700,173600,11100,0.06
1055,Plumas ,2020-12-01,7160,6410,750,0.10400000000000001
1056,Riverside ,2020-12-01,1116200,1019600,96600,0.087
1057,Sacramento ,2020-12-01,708900,650100,58800,0.083
1058,San Benito ,2020-12-01,30700,28100,2600,0.085
1059,San Bernardino ,2020-12-01,981200,894700,86600,0.08800000000000001
1060,San Diego ,2020-12-01,1535100,1412500,122700,0.08
1061,San Francisco ,2020-12-01,541600,506700,34900,0.064
1062,San Joaquin ,2020-12-01,332700,299400,33400,0.1
1063,San Luis Obispo ,2020-12-01,128500,120000,8600,0.067
1064,San Mateo ,2020-12-01,424400,399700,24700,0.057999999999999996
1065,Santa Barbara ,2020-12-01,213100,197600,15500,0.073
1066,Santa Clara ,2020-12-01,1010500,950900,59600,0.059000000000000004
1067,Santa Cruz ,2020-12-01,128500,118000,10400,0.081
1068,Shasta ,2020-12-01,72600,67000,5700,0.078
1069,Sierra ,2020-12-01,1270,1180,90,0.07
1070,Siskiyou ,2020-12-01,16470,14910,1570,0.095
1071,Solano ,2020-12-01,202800,185300,17500,0.086
1072,Sonoma ,2020-12-01,236300,220700,15600,0.066
1073,Stanislaus ,2020-12-01,239500,217000,22500,0.094
1074,Sutter ,2020-12-01,43800,39500,4400,0.099
1075,Tehama ,2020-12-01,25180,23160,2020,0.08
1076,Trinity ,2020-12-01,4460,4120,340,0.076
1077,Tulare ,2020-12-01,191300,169300,21900,0.115
1078,Tuolumne ,2020-12-01,19860,18070,1800,0.09
1079,Ventura ,2020-12-01,404500,374600,29900,0.07400000000000001
1080,Yolo ,2020-12-01,105000,97800,7200,0.068
1081,Yuba ,2020-12-01,29500,26600,2900,0.098
2076,Alameda ,2020-11-01,801300,746600,54700,0.068
2077,Alpine ,2020-11-01,490,460,40,0.075
2078,Amador ,2020-11-01,14180,13200,990,0.069
2079,Butte ,2020-11-01,90300,84100,6200,0.069
2080,Calaveras ,2020-11-01,20940,19770,1180,0.055999999999999994
2081,Colusa ,2020-11-01,10200,9170,1030,0.10099999999999999
2082,Contra Costa ,2020-11-01,532900,496100,36800,0.069
2083,Del Norte ,2020-11-01,9120,8430,690,0.076
2084,El Dorado ,2020-11-01,89900,84800,5100,0.057
2085,Fresno ,2020-11-01,439400,402200,37300,0.085
2086,Glenn ,2020-11-01,12170,11420,750,0.062
2087,Humboldt ,2020-11-01,58700,55100,3600,0.062
2088,Imperial ,2020-11-01,64800,54200,10600,0.16399999999999998
2089,Inyo ,2020-11-01,8180,7710,470,0.057999999999999996
2090,Kern ,2020-11-01,379600,345200,34400,0.09
2091,Kings ,2020-11-01,54300,49500,4800,0.08800000000000001
2092,Lake ,2020-11-01,27810,25760,2050,0.07400000000000001
2093,Lassen ,2020-11-01,9870,9380,490,0.05
2095,Los Angeles ,2020-11-01,4931400,4342400,589000,0.11900000000000001
2096,Madera ,2020-11-01,60400,55600,4800,0.079
2097,Marin ,2020-11-01,128800,122500,6300,0.049
2098,Mariposa ,2020-11-01,6610,6060,550,0.084
2099,Mendocino ,2020-11-01,35950,33530,2420,0.067
2100,Merced ,2020-11-01,113000,103000,10000,0.08900000000000001
2101,Modoc ,2020-11-01,3160,2970,190,0.059000000000000004
2102,Mono ,2020-11-01,7220,6630,590,0.081
2103,Monterey ,2020-11-01,205800,191500,14300,0.07
2104,Napa ,2020-11-01,66100,61800,4300,0.064
2105,Nevada ,2020-11-01,45650,43040,2610,0.057
2106,Orange ,2020-11-01,1535600,1434800,100800,0.066
2107,Placer ,2020-11-01,184100,174500,9600,0.052000000000000005
2108,Plumas ,2020-11-01,7160,6630,530,0.07400000000000001
2109,Riverside ,2020-11-01,1106600,1021500,85100,0.077
2110,Sacramento ,2020-11-01,705200,653600,51600,0.073
2111,San Benito ,2020-11-01,30700,28600,2100,0.069
2112,San Bernardino ,2020-11-01,972600,896200,76400,0.079
2113,San Diego ,2020-11-01,1524000,1419700,104300,0.068
2114,San Francisco ,2020-11-01,541000,509000,32000,0.059000000000000004
2115,San Joaquin ,2020-11-01,330700,302000,28700,0.087
2116,San Luis Obispo ,2020-11-01,131200,124100,7100,0.054000000000000006
2117,San Mateo ,2020-11-01,424000,401600,22400,0.053
2118,Santa Barbara ,2020-11-01,215800,203500,12300,0.057
2119,Santa Clara ,2020-11-01,1009900,957200,52700,0.052000000000000005
2120,Santa Cruz ,2020-11-01,129300,120800,8600,0.066
2121,Shasta ,2020-11-01,72400,67700,4700,0.065
2122,Sierra ,2020-11-01,1290,1220,70,0.051
2123,Siskiyou ,2020-11-01,16810,15670,1150,0.068
2124,Solano ,2020-11-01,201200,186000,15200,0.075
2125,Sonoma ,2020-11-01,239000,225300,13700,0.057
2126,Stanislaus ,2020-11-01,237900,218700,19200,0.081
2127,Sutter ,2020-11-01,43700,40200,3500,0.08
2128,Tehama ,2020-11-01,25360,23700,1660,0.066
2129,Trinity ,2020-11-01,4470,4210,250,0.057
2130,Tulare ,2020-11-01,192100,173600,18500,0.096
2131,Tuolumne ,2020-11-01,19620,18180,1440,0.07400000000000001
2132,Ventura ,2020-11-01,403600,377900,25700,0.064
2133,Yolo ,2020-11-01,104500,98400,6000,0.057999999999999996
2134,Yuba ,2020-11-01,29400,27000,2400,0.083
3129,Alameda ,2020-10-01,812800,744300,68500,0.084
3130,Alpine ,2020-10-01,460,410,50,0.10300000000000001
3131,Amador ,2020-10-01,14540,13380,1160,0.08
3132,Butte ,2020-10-01,92200,84800,7300,0.08
3133,Calaveras ,2020-10-01,21370,19950,1420,0.066
3134,Colusa ,2020-10-01,10610,9630,970,0.092
3135,Contra Costa ,2020-10-01,540500,494900,45600,0.084
3136,Del Norte ,2020-10-01,9400,8620,780,0.083
3137,El Dorado ,2020-10-01,91100,85000,6100,0.067
3138,Fresno ,2020-10-01,444000,401000,43100,0.09699999999999999
3139,Glenn ,2020-10-01,12640,11780,860,0.068
3140,Humboldt ,2020-10-01,59600,55200,4300,0.073
3141,Imperial ,2020-10-01,67100,53700,13400,0.2
3142,Inyo ,2020-10-01,8290,7720,570,0.068
3143,Kern ,2020-10-01,388700,347500,41200,0.106
3144,Kings ,2020-10-01,55500,50100,5400,0.098
3145,Lake ,2020-10-01,28590,26220,2370,0.083
3146,Lassen ,2020-10-01,10040,9500,550,0.054000000000000006
3148,Los Angeles ,2020-10-01,4945600,4354200,591400,0.12
3149,Madera ,2020-10-01,61000,55600,5400,0.08900000000000001
3150,Marin ,2020-10-01,131000,123200,7800,0.06
3151,Mariposa ,2020-10-01,6990,6370,610,0.08800000000000001
3152,Mendocino ,2020-10-01,37000,34110,2880,0.078
3153,Merced ,2020-10-01,115800,104600,11200,0.09699999999999999
3154,Modoc ,2020-10-01,3320,3120,200,0.059000000000000004
3155,Mono ,2020-10-01,7420,6670,750,0.102
3156,Monterey ,2020-10-01,213600,197700,15900,0.07400000000000001
3157,Napa ,2020-10-01,68900,63800,5100,0.07400000000000001
3158,Nevada ,2020-10-01,46610,43450,3160,0.068
3159,Orange ,2020-10-01,1554900,1427400,127500,0.08199999999999999
3160,Placer ,2020-10-01,186300,174600,11700,0.063
3161,Plumas ,2020-10-01,7630,7050,570,0.075
3162,Riverside ,2020-10-01,1121000,1016400,104600,0.09300000000000001
3163,Sacramento ,2020-10-01,716900,653800,63100,0.08800000000000001
3164,San Benito ,2020-10-01,31200,28700,2500,0.079
3165,San Bernardino ,2020-10-01,984400,891500,92900,0.094
3166,San Diego ,2020-10-01,1541800,1412100,129600,0.084
3167,San Francisco ,2020-10-01,550300,508700,41600,0.076
3168,San Joaquin ,2020-10-01,335500,301500,34100,0.102
3169,San Luis Obispo ,2020-10-01,133300,124700,8600,0.064
3170,San Mateo ,2020-10-01,429600,401400,28200,0.066
3171,Santa Barbara ,2020-10-01,219300,204800,14500,0.066
3172,Santa Clara ,2020-10-01,1019000,953500,65500,0.064
3173,Santa Cruz ,2020-10-01,133100,123200,9900,0.07400000000000001
3174,Shasta ,2020-10-01,74200,68700,5400,0.073
3175,Sierra ,2020-10-01,1330,1260,80,0.055999999999999994
3176,Siskiyou ,2020-10-01,17320,16060,1260,0.073
3177,Solano ,2020-10-01,204600,186200,18400,0.09
3178,Sonoma ,2020-10-01,244300,227500,16800,0.069
3179,Stanislaus ,2020-10-01,242100,219400,22700,0.094
3180,Sutter ,2020-10-01,45400,41500,3900,0.086
3181,Tehama ,2020-10-01,26140,24230,1910,0.073
3182,Trinity ,2020-10-01,4590,4310,290,0.062
3183,Tulare ,2020-10-01,195100,173300,21700,0.111
3184,Tuolumne ,2020-10-01,19960,18220,1730,0.087
3185,Ventura ,2020-10-01,407700,376500,31200,0.076
3186,Yolo ,2020-10-01,106000,99100,6900,0.065
3187,Yuba ,2020-10-01,30100,27300,2800,0.09300000000000001
4182,Alameda ,2020-09-01,799200,721800,77400,0.09699999999999999
4183,Alpine ,2020-09-01,460,410,50,0.11
4184,Amador ,2020-09-01,14280,13010,1270,0.08900000000000001
4185,Butte ,2020-09-01,90500,82300,8200,0.09
4186,Calaveras ,2020-09-01,21160,19610,1550,0.073
4187,Colusa ,2020-09-01,10320,9290,1030,0.1
4188,Contra Costa ,2020-09-01,531200,480000,51300,0.096
4189,Del Norte ,2020-09-01,9320,8500,830,0.08900000000000001
4190,El Dorado ,2020-09-01,89000,82200,6800,0.077
4191,Fresno ,2020-09-01,438800,392500,46300,0.105
4192,Glenn ,2020-09-01,12370,11440,930,0.076
4193,Humboldt ,2020-09-01,58700,53900,4700,0.081
4194,Imperial ,2020-09-01,67300,52400,14900,0.222
4195,Inyo ,2020-09-01,8160,7550,620,0.075
4196,Kern ,2020-09-01,382800,337300,45500,0.11900000000000001
4197,Kings ,2020-09-01,54800,49100,5700,0.10400000000000001
4198,Lake ,2020-09-01,28410,25890,2520,0.08900000000000001
4199,Lassen ,2020-09-01,9370,8780,590,0.063
4200,Los Angeles ,2020-09-01,4804900,4173100,631900,0.132
4202,Madera ,2020-09-01,60800,54900,5900,0.096
4203,Marin ,2020-09-01,127500,118500,9000,0.07
4204,Mariposa ,2020-09-01,7070,6400,670,0.095
4205,Mendocino ,2020-09-01,36800,33620,3180,0.086
4206,Merced ,2020-09-01,114300,102200,12100,0.106
4207,Modoc ,2020-09-01,3210,3010,200,0.061
4208,Mono ,2020-09-01,7730,6960,770,0.1
4209,Monterey ,2020-09-01,213300,196000,17300,0.081
4210,Napa ,2020-09-01,67900,62300,5600,0.083
4211,Nevada ,2020-09-01,45830,42290,3540,0.077
4212,Orange ,2020-09-01,1521600,1375500,146100,0.096
4213,Placer ,2020-09-01,182100,168900,13200,0.07200000000000001
4214,Plumas ,2020-09-01,7710,7110,600,0.078
4215,Riverside ,2020-09-01,1096200,979500,116600,0.106
4216,Sacramento ,2020-09-01,702800,632400,70400,0.1
4217,San Benito ,2020-09-01,30500,27800,2700,0.08900000000000001
4218,San Bernardino ,2020-09-01,959900,859400,100500,0.105
4219,San Diego ,2020-09-01,1512100,1366900,145200,0.096
4220,San Francisco ,2020-09-01,541700,493200,48500,0.09
4221,San Joaquin ,2020-09-01,331000,293600,37400,0.113
4222,San Luis Obispo ,2020-09-01,130700,120800,9800,0.075
4223,San Mateo ,2020-09-01,421200,389100,32100,0.076
4224,Santa Barbara ,2020-09-01,215700,199500,16100,0.075
4225,Santa Clara ,2020-09-01,1000200,926100,74100,0.07400000000000001
4226,Santa Cruz ,2020-09-01,131100,120300,10900,0.083
4227,Shasta ,2020-09-01,72800,67000,5800,0.08
4228,Sierra ,2020-09-01,1310,1220,90,0.065
4229,Siskiyou ,2020-09-01,16960,15600,1360,0.08
4230,Solano ,2020-09-01,199300,179100,20200,0.10099999999999999
4231,Sonoma ,2020-09-01,241900,223000,18900,0.078
4232,Stanislaus ,2020-09-01,239800,215100,24700,0.10300000000000001
4233,Sutter ,2020-09-01,44900,40700,4200,0.094
4234,Tehama ,2020-09-01,25560,23490,2070,0.081
4235,Trinity ,2020-09-01,4640,4340,300,0.065
4236,Tulare ,2020-09-01,194100,170700,23400,0.121
4237,Tuolumne ,2020-09-01,19850,17940,1910,0.096
4238,Ventura ,2020-09-01,399900,364700,35100,0.08800000000000001
4239,Yolo ,2020-09-01,103500,96000,7500,0.073
4240,Yuba ,2020-09-01,29800,26700,3000,0.10099999999999999
5235,Alameda ,2020-08-01,803800,718900,84900,0.106
5236,Alpine ,2020-08-01,460,400,50,0.11599999999999999
5237,Amador ,2020-08-01,14380,12960,1410,0.098
5238,Butte ,2020-08-01,91300,82400,8900,0.098
5239,Calaveras ,2020-08-01,21340,19670,1670,0.078
5240,Colusa ,2020-08-01,10460,9340,1120,0.107
5241,Contra Costa ,2020-08-01,534100,477900,56200,0.105
5242,Del Norte ,2020-08-01,9420,8490,930,0.098
5243,El Dorado ,2020-08-01,89000,81500,7500,0.085
5244,Fresno ,2020-08-01,439500,389000,50500,0.115
5245,Glenn ,2020-08-01,12280,11220,1060,0.086
5246,Humboldt ,2020-08-01,58000,52500,5400,0.094
5247,Imperial ,2020-08-01,68200,51300,16900,0.248
5248,Inyo ,2020-08-01,8220,7570,660,0.08
5249,Kern ,2020-08-01,385600,335500,50200,0.13
5250,Kings ,2020-08-01,55500,49400,6100,0.11
5251,Lake ,2020-08-01,28320,25630,2690,0.095
5252,Lassen ,2020-08-01,9330,8690,640,0.068
5254,Los Angeles ,2020-08-01,4938500,4076400,862100,0.175
5255,Madera ,2020-08-01,61700,55300,6500,0.105
5256,Marin ,2020-08-01,128100,118100,10000,0.078
5257,Mariposa ,2020-08-01,7230,6510,720,0.1
5258,Mendocino ,2020-08-01,36870,33370,3500,0.095
5259,Merced ,2020-08-01,112500,99200,13300,0.11900000000000001
5260,Modoc ,2020-08-01,3190,2980,210,0.067
5261,Mono ,2020-08-01,7920,7040,870,0.11
5262,Monterey ,2020-08-01,217000,197900,19100,0.08800000000000001
5263,Napa ,2020-08-01,68400,62000,6400,0.09300000000000001
5264,Nevada ,2020-08-01,46230,42260,3970,0.086
5265,Orange ,2020-08-01,1526200,1362200,164000,0.107
5266,Placer ,2020-08-01,182500,167600,14900,0.08199999999999999
5267,Plumas ,2020-08-01,7950,7270,680,0.085
5268,Riverside ,2020-08-01,1098700,970800,127900,0.11599999999999999
5269,Sacramento ,2020-08-01,704300,627600,76700,0.109
5270,San Benito ,2020-08-01,30900,27900,3000,0.096
5271,San Bernardino ,2020-08-01,960700,851900,108800,0.113
5272,San Diego ,2020-08-01,1518700,1353900,164700,0.10800000000000001
5273,San Francisco ,2020-08-01,546600,493700,52900,0.09699999999999999
5274,San Joaquin ,2020-08-01,331300,290900,40400,0.122
5275,San Luis Obispo ,2020-08-01,129400,118300,11100,0.086
5276,San Mateo ,2020-08-01,424600,389400,35200,0.083
5277,Santa Barbara ,2020-08-01,216300,198400,17900,0.083
5278,Santa Clara ,2020-08-01,1009000,927000,82000,0.081
5279,Santa Cruz ,2020-08-01,132200,120000,12100,0.092
5280,Shasta ,2020-08-01,72500,66200,6300,0.087
5281,Sierra ,2020-08-01,1280,1180,100,0.077
5282,Siskiyou ,2020-08-01,16940,15410,1540,0.091
5283,Solano ,2020-08-01,200400,178500,22000,0.11
5284,Sonoma ,2020-08-01,243400,222300,21100,0.087
5285,Stanislaus ,2020-08-01,241700,214700,27000,0.11199999999999999
5286,Sutter ,2020-08-01,45600,41000,4600,0.10099999999999999
5287,Tehama ,2020-08-01,25660,23390,2280,0.08900000000000001
5288,Trinity ,2020-08-01,4710,4390,330,0.069
5289,Tulare ,2020-08-01,196800,171000,25800,0.131
5290,Tuolumne ,2020-08-01,20080,17930,2150,0.107
5291,Ventura ,2020-08-01,401500,362100,39300,0.098
5292,Yolo ,2020-08-01,103900,95700,8300,0.079
5293,Yuba ,2020-08-01,29900,26700,3200,0.10800000000000001
6288,Alameda ,2020-07-01,811500,714400,97100,0.12
6289,Alpine ,2020-07-01,460,390,70,0.145
6290,Amador ,2020-07-01,14410,12740,1670,0.11599999999999999
6291,Butte ,2020-07-01,90400,80300,10100,0.111
6292,Calaveras ,2020-07-01,21410,19460,1950,0.091
6293,Colusa ,2020-07-01,10340,8950,1390,0.135
6294,Contra Costa ,2020-07-01,539200,474900,64400,0.11900000000000001
6295,Del Norte ,2020-07-01,9200,8180,1020,0.111
6296,El Dorado ,2020-07-01,90200,81200,8900,0.099
6297,Fresno ,2020-07-01,441000,383700,57300,0.13
6298,Glenn ,2020-07-01,12210,10970,1240,0.10099999999999999
6299,Humboldt ,2020-07-01,58200,52000,6200,0.106
6300,Imperial ,2020-07-01,68600,49800,18900,0.275
6301,Inyo ,2020-07-01,8350,7580,780,0.09300000000000001
6302,Kern ,2020-07-01,379700,322000,57700,0.152
6303,Kings ,2020-07-01,56400,49400,7000,0.124
6304,Lake ,2020-07-01,27780,24730,3050,0.11
6305,Lassen ,2020-07-01,9300,8560,740,0.08
6307,Los Angeles ,2020-07-01,4934900,4035000,899900,0.182
6308,Madera ,2020-07-01,60700,53100,7500,0.124
6309,Marin ,2020-07-01,129200,117400,11700,0.091
6310,Mariposa ,2020-07-01,7360,6520,830,0.113
6311,Mendocino ,2020-07-01,36750,32750,4000,0.109
6312,Merced ,2020-07-01,110800,95400,15400,0.139
6313,Modoc ,2020-07-01,3210,2960,250,0.078
6314,Mono ,2020-07-01,8080,6970,1110,0.13699999999999998
6315,Monterey ,2020-07-01,219300,196500,22800,0.10400000000000001
6316,Napa ,2020-07-01,69600,62200,7400,0.107
6317,Nevada ,2020-07-01,46270,41620,4640,0.1
6318,Orange ,2020-07-01,1544300,1354100,190300,0.12300000000000001
6319,Placer ,2020-07-01,184400,167100,17300,0.094
6320,Plumas ,2020-07-01,7870,7090,790,0.1
6321,Riverside ,2020-07-01,1106800,961100,145800,0.132
6322,Sacramento ,2020-07-01,711800,625800,85900,0.121
